Date,Close,High,Low,Open,Volume,NI,RO,XA,HD,IN,OD,YB,PG,QA,PI,DR,SQ,YP,HP,XC,KK,XL,EL,EP,SF,IU,PD,BQ,AZ,RG,MG,PC,CC,BK,YU,DH,GR,CP,ZP,IF,LS,IH,DU,LG,SA
2026-07-13,167.0,172.0,162.0,165.0,2445000,0.0,0.0,0.0177,-0.0484,0.0,0.0004,-0.0021,0.0051,0.0004,0.0154,0.0,0.0068,-0.0189,0.0,0.001,-0.0058,0.0364,0.0125,0.0006,0.0,-0.0579,-0.0049,0.0002,-0.0621,0.0,0.0,-0.0574,-0.0262,0.0,0.0227,0.0,0.0,-0.0,0.0,0.148,0.0,0.0163,0.0,0.0,0.0
2026-07-14,168.0,170.0,164.0,167.0,2270600,0.0017,0.0059,-0.0366,-0.0005,0.0084,0.0034,0.0037,0.0059,0.0,0.0076,-0.0001,0.0002,0.0016,0.0,0.0007,-0.0041,-0.0303,0.0,0.005,0.0,0.0047,-0.0,0.0614,-0.0019,0.0101,0.0,0.0105,-0.0566,-300.0,0.0,0.0,0.0,-0.0066,-0.0068,0.1462,-0.1467,-0.0102,0.0085,0.0066,0.0085
2026-07-15,168.0,168.0,163.0,167.0,2413100,0.0001,-0.033,0.0142,-0.0001,0.0,-0.0059,-0.0633,0.0,0.0,-0.0498,0.0,0.0124,-0.0081,0.0082,0.0014,0.0015,0.015,-0.0501,0.0,0.0085,0.0026,-0.0322,-0.0181,-0.0093,0.0,0.0,0.0011,0.0013,0.0,0.0081,0.0,0.0017,0.0,0.0082,0.2253,-0.0498,0.01,0.0,0.0,0.0
2026-07-16,170.0,171.0,165.0,168.0,2187200,0.0222,0.0093,-0.0003,0.0,0.0,-0.0051,-0.0084,0.0087,0.0,0.0111,0.0003,0.0134,-0.0518,0.0,-0.0009,0.0101,-0.0965,0.0089,-0.0084,0.0,0.0,0.0189,-0.0002,0.0305,0.0,0.0008,-0.004,-0.0357,0.0029,0.0848,-0.0171,0.0054,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,170.0,171.0,166.0,171.0,1650500,0.0016,0.0213,-0.0007,-0.0001,0.0034,0.0001,0.005,0.0213,0.0,0.0307,0.0,0.0,0.0016,-0.0085,0.0256,0.0031,-0.0614,0.0204,-0.005,-0.0338,-0.0117,-0.0093,0.0029,-0.0085,0.0025,-0.0008,-0.0101,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,171.0,176.0,169.0,170.0,2144500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,172.0,172.0,168.0,171.0,1584400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,165.0,175.0,161.0,172.0,6414300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,166.0,169.0,163.0,165.0,3311400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,159.0,168.0,159.0,168.0,1757800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
