Date,Close,High,Low,Open,Volume,XL,PD,XC,SQ,YP,CC,OD,KK,EP,AZ,RO,NI
2026-07-13,10300.0,10300.0,10300.0,10300.0,0,,,,,,,,,,,,
2026-07-14,9750.0,9950.0,9625.0,9875.0,2900,0.001,0.001,-0.0078,0.0,0.0029,0.0019,-0.0,0.001,-0.0,0.0,-0.002,0.002
2026-07-15,9750.0,9825.0,9725.0,9775.0,600,0.002,0.0,0.001,0.0,-0.001,-0.001,-0.002,0.0,0.001,0.0,0.0,0.0
2026-07-16,9625.0,9800.0,9625.0,9750.0,900,0.001,0.001,0.002,0.0,-0.001,-0.0019,0.0,-0.0,-0.0019,0.001,0.0,0.0
2026-07-17,9750.0,9800.0,9650.0,9775.0,1900,-0.0078,0.001,0.0068,0.0049,-0.0029,0.0,-0.001,-0.001,0.0,0.0,0.0,0.0
2026-07-20,9875.0,9900.0,9650.0,9675.0,2400,,,,,,,,,,,,
2026-07-21,9850.0,9875.0,9650.0,9875.0,400,,,,,,,,,,,,
2026-07-22,9850.0,9850.0,9850.0,9850.0,200,,,,,,,,,,,,
2026-07-23,10000.0,10150.0,9675.0,9900.0,800,,,,,,,,,,,,
2026-07-24,10000.0,10000.0,9950.0,9950.0,500,,,,,,,,,,,,
