Date,Close,High,Low,Open,Volume,OD,QA,CP,DH,PD,CC,XL,DR,YP,NI,SQ,KK,XC,MG,YJ,AK,BQ,IF,AZ,YB,RO,EP,KI,SF,TP,PC,MU,ZP,LG,HD,GR,XA
2026-07-13,33.0,33.0,31.0,33.0,901000,0.0,0.0,0.0004,0.0011,0.001,0.0028,-0.0084,0.0,0.003,0.0005,0.0002,0.0001,-0.0012,0.0012,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2026-07-14,33.0,34.0,32.0,33.0,2130200,0.0,0.0,0.0,-0.0105,0.0231,0.0043,-0.0214,0.0,0.003,0.0012,0.0055,0.0,-0.0025,-0.002,-0.0007,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,35.0,35.0,32.0,32.0,2321200,0.0,-0.0041,0.0,0.0017,0.0012,0.0023,-0.0144,0.0,-0.0069,0.0147,0.0041,-0.001,0.0011,0.0,-0.0,0.0,0.0002,0.0,-0.0,-0.0,100.0,-0.0003,-0.0,-0.002,0.0,-0.0003,-0.0,-0.0,-0.0003,0.0043,0.0,0.0
2026-07-16,35.0,37.0,33.0,35.0,2946400,-0.0011,0.0,0.0,0.0033,0.0035,0.0005,-0.0018,0.0,-0.0052,-0.0048,0.0011,0.002,-0.0011,0.0033,0.0008,-0.0004,-0.0002,-0.0,0.0,-0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,35.0,35.0,34.0,35.0,1207000,-0.0,-0.0001,0.0,-0.0034,0.0092,0.0023,-0.0092,-0.0036,-0.0002,-0.0,-0.001,0.001,0.0008,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,38.0,38.0,34.0,35.0,9389100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,38.0,41.0,36.0,39.0,9827500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,37.0,38.0,36.0,38.0,2310700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,37.0,40.0,35.0,36.0,10553300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,36.0,37.0,35.0,37.0,1211500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
