Date,Close,High,Low,Open,Volume,II,IN,CP,XL,CC,YP,IF,AO,KK,AT,SH,XC,AZ,IU,IH,PC,BK,MG,YJ,PD,XA,EP,AG,AI,YO,SQ,TP,OD,QA,BQ,AK,NI,YB,ZP,PO,LG,BR,RO,GR,FZ,DR,KI,YU,GA,DH,DX,SF,TF,GI,RG,LS,SA,HP,ES
2026-07-13,448.0,456.0,412.0,424.0,95218000,0.0,0.3399,-1.6,0.0337,1.0,-0.1316,-1.1,0.0022,0.0048,0.0,-0.3234,0.6453,-0.3216,-0.1255,-1.3,-0.0084,1.0,0.2337,-0.1573,-0.2526,-0.4636,-0.1401,-0.2011,-0.0999,0.0,0.0455,0.592,-1.9,-0.0371,-0.2494,2.4,1.2,0.1025,-0.216,-0.4125,-0.0524,0.0,-0.0236,0.0959,0.0,0.0279,0.0,0.0,0.0,-0.0352,0.0,-0.0445,0.0,-0.0113,0.0,-0.0398,0.0326,1.5,0.0011
2026-07-14,452.0,464.0,442.0,450.0,77449500,0.0,-0.2059,0.0264,2.0,1.3,0.2905,-2.0,-0.0022,0.1135,0.0424,0.2118,-0.3546,0.4419,-0.006,0.6731,0.0424,-0.0685,0.0137,0.0,0.648,0.0,0.1842,0.3808,0.0953,0.0,0.3066,-0.1553,-1.9,-0.0046,-0.3805,-1.3,0.1629,-0.1161,0.1888,0.0364,-0.724,-0.0018,-0.0002,0.0834,0.0,-0.017,0.05,0.0,0.0068,-0.0381,0.0,0.0222,0.0,0.023,-0.0001,0.0519,-0.0335,0.0,0.0
2026-07-15,496.0,514.0,446.0,456.0,191795000,0.0,-0.2183,0.1737,4.4,2.2,-0.5181,-1.2,-0.023,0.3118,0.147,-0.0509,3.1,-1.7,-0.1108,-1.8,-1.3,1.8,0.5471,0.1353,0.166,0.221,0.1802,-0.2708,-0.2929,0.0,-0.0189,-0.4616,-2.4,-0.0102,-0.1183,-2.7,-0.3838,0.7631,-0.3408,-0.0667,0.1057,0.0071,-0.0054,0.0418,-0.0118,0.2071,0.0634,-0.5016,0.0,0.0058,0.0054,-0.046,0.0041,-0.0248,0.0,0.0,0.0,0.0,0.0
2026-07-16,496.0,504.0,468.0,494.0,180250000,0.0,6.2,-1.0,-2.9,-1.2,-1.1,-0.0051,0.0,0.0131,-0.1652,1.2,-2.4,0.1322,0.4502,0.3012,-0.0059,0.3796,-0.1402,-0.1356,-0.245,5.9,-0.1552,-0.866,-0.0066,0.0,0.0627,-0.0834,0.0068,-0.012,-0.5236,-4.4,8.2,-1.0,1.1,0.3079,-7.7,-0.3313,0.0,0.2417,-0.0122,-0.0136,0.0398,-0.0356,0.0001,-0.0256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,444.0,496.0,436.0,482.0,117767900,0.5847,-0.2705,-0.1048,4.5,-3.6,2.0,-2.7,0.0626,0.26,0.052,0.3201,1.2,0.9436,-0.0751,0.1148,1.3,-3.5,-0.5871,0.0947,0.2216,0.1939,0.3329,2.4,-2.0,-0.0,0.2803,0.107,-2.3,0.1741,2.2,-3.6,0.4246,0.9676,-0.852,-0.1276,0.4834,0.3,0.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,438.0,458.0,436.0,440.0,51130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,434.0,446.0,428.0,438.0,78466300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,416.0,442.0,412.0,436.0,111202900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,422.0,438.0,412.0,414.0,149938300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,424.0,432.0,406.0,424.0,115385500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
