Date,Close,High,Low,Open,Volume,XC,YU,LG,XA,AZ,AT,EP,YP,DH,CC,YB,NI,BQ,PD,TF,HD,QA,SQ,YJ,KK,LS,CP,OD,XL,MG,TP,IF,AO,GR,HP,RO,DR,ZP,BB,DD,FS,SS
2026-07-13,805.0,825.0,790.0,800.0,63400,0.0015,0.0,0.0,0.0,-0.0008,0.0,-0.0046,-0.003,0.0,0.001,0.0,0.0133,-0.0002,-0.0067,0.0,-0.0002,0.0,0.0,0.0,0.0012,0.0,0.0,0.0017,-0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016
2026-07-14,820.0,835.0,805.0,805.0,119800,0.0005,-0.0046,0.0,0.0,0.0,-0.0003,0.0252,-0.0123,-0.0042,-0.0018,-0.0025,-0.0114,-0.0001,0.0056,0.0,-0.0002,0.0,-0.0009,0.0,0.0001,-0.0001,0.0,0.0003,0.0021,0.0,0.0,0.0,-0.0021,0.0,0.0,0.0,0.0,0.0083,0.0,0.0,0.0,-0.0017
2026-07-15,835.0,835.0,825.0,825.0,63900,0.0017,0.0,-0.0002,0.001,0.0006,0.0053,-0.0347,-0.0082,0.0,0.0127,0.0,0.005,-0.0001,0.0013,0.0,0.0001,0.0,0.0084,-0.0017,0.0015,0.0,0.0,0.0017,0.0058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,840.0,860.0,825.0,835.0,162900,-0.0018,-0.0038,0.0,0.0013,-0.0001,-0.0003,0.0,0.0029,0.0,0.0123,-0.0008,-0.0042,0.0,0.012,0.0,-0.0001,0.0,0.0,0.0,0.0019,-0.0171,-0.0258,-0.0008,-0.0074,0.0,0.0,0.0,-0.0021,0.0003,0.0,0.0003,0.0009,-0.0004,0.0411,-0.0075,-0.0004,0.0
2026-07-17,860.0,880.0,840.0,840.0,465700,0.0165,-0.0048,-0.0028,0.0002,-0.0024,-0.0002,-0.0008,-0.0089,0.0283,-0.0289,0.0135,0.0029,-0.0001,-0.0089,-0.0026,-0.0001,0.0019,-0.1753,0.0284,0.0047,-0.0022,-0.006,0.0801,0.0491,-0.0188,0.0,0.0001,-0.0022,0.0386,0.0043,-0.0026,-0.0011,0.0,0.0,0.0,0.0,0.0
2026-07-20,860.0,890.0,855.0,860.0,82300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,860.0,885.0,850.0,860.0,240400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,860.0,870.0,840.0,865.0,305300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,870.0,870.0,850.0,860.0,684300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,860.0,870.0,850.0,870.0,178400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
