Date,Close,High,Low,Open,Volume,NI,PD,OD,BQ,DR,SQ,YP,XC,CC,XL,KK,HP,LG,YB,IF,AZ,AT,AI,CP,ZP
2026-07-13,250.0,252.0,244.0,250.0,19800,0.0,-0.0006,0.0,0.0,-0.0032,-0.0,-0.0004,0.0003,0.0001,0.0037,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,-0.0,0.0,0.0
2026-07-14,250.0,252.0,246.0,252.0,34200,0.0,600.0,0.0,0.0,-0.0019,0.0,-0.0001,0.0009,0.0005,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2026-07-15,246.0,246.0,240.0,246.0,187600,-0.0003,0.0024,0.0,0.0,-0.0084,0.0,0.0064,-0.0019,0.0063,-0.0095,0.0,0.0,0.0,0.0,0.0048,0.0,0.0001,0.0,0.0,0.0
2026-07-16,248.0,250.0,244.0,250.0,121200,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,-0.002,0.0052,-0.002,-0.0149,0.0,0.0124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,250.0,250.0,238.0,250.0,26900,-0.0009,0.0002,0.0,-0.0022,0.0002,-0.0,0.0034,-0.0002,0.0001,-0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,250.0,254.0,244.0,250.0,110500,0.0,0.003,0.0001,0.0,-0.0,0.0,0.0021,0.0,0.0002,-0.0045,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,-0.0008,-0.0,0.0
2026-07-21,250.0,254.0,246.0,250.0,152500,0.0,-0.0074,0.0,0.0,0.0028,0.0,-0.0009,0.0058,400.0,0.0222,0.0,0.0,-0.0121,0.0002,-0.0051,0.0,0.0,-0.0001,-0.0005,-0.0049
2026-07-22,250.0,252.0,246.0,250.0,68400,0.0,-0.0084,0.0,0.0,0.0014,0.0,0.0001,0.0002,-0.0058,0.0109,0.0,0.0,0.0005,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,250.0,254.0,244.0,250.0,88700,-0.0001,0.0099,0.0008,0.0,-0.0037,0.0,0.0014,0.0002,0.0001,-0.0093,0.0001,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,250.0,252.0,240.0,252.0,35000,0.0,-0.0008,0.0,-0.0,-0.0,0.0,0.0032,0.0,-0.0001,-0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
