Date,Close,High,Low,Open,Volume,TP,OD,XC,YP,XL,PD,CC,DR,RO,XA,NI,DH,KK,AT,LG,SQ,PO,AZ,EP,ZP,CP,BQ,GR,KI,OK,DX,YB,LS
2026-07-13,170.0,175.0,168.0,174.0,263500,-0.0097,-0.0001,0.0051,-0.0032,-0.0102,0.0051,0.0043,0.0,-0.0001,0.0,0.0004,0.0002,-0.001,0.0,0.0,0.0009,0.0,0.0,0.0,-0.0003,0.0002,0.0,0.0,0.0,0.0,0.0,0.0086,0.0
2026-07-14,170.0,172.0,167.0,172.0,793400,-0.0142,-0.0247,0.023,-0.0019,-0.0012,0.0011,0.0007,0.0002,0.0,0.0001,-0.0008,0.0,0.0035,0.0,-0.0094,0.0018,0.0,0.0001,0.0002,0.0019,0.0028,0.0,0.0001,0.0,0.0169,0.0,0.0,0.0
2026-07-15,168.0,172.0,168.0,170.0,339900,0.0006,-0.0018,0.0027,0.0056,-0.0073,0.0029,-0.0043,0.0,0.0002,0.0,-0.0026,0.0001,-0.0003,0.0001,0.0001,0.0001,0.0,0.0002,0.0,0.0003,0.0033,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-16,168.0,170.0,166.0,168.0,577400,0.0,0.0001,0.0031,0.0126,-0.0701,0.0282,0.0072,0.0,0.0,0.0001,0.0002,0.0137,0.0,0.0,0.0,0.0007,-0.0002,0.0001,0.0004,0.0,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,169.0,171.0,168.0,168.0,370100,0.0002,-0.0005,-0.0005,0.0223,0.0048,-0.026,0.0135,0.0001,0.0,-0.004,0.0003,-0.0137,0.0018,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,171.0,180.0,168.0,169.0,259300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,172.0,175.0,169.0,171.0,378000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,170.0,172.0,168.0,172.0,84500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,169.0,173.0,169.0,171.0,276000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,171.0,172.0,168.0,172.0,962700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
