Date,Close,High,Low,Open,Volume,XC,SQ,QA,LG,XA,AZ,KK,OD,EP,XL,YP,DH,CC,BQ,NI,PD,RO,DR,MG,TP,LS,CP,KI,CD,FZ,YB,HP,GR
2026-07-13,18.0,18.0,18.0,18.0,3804600,0.0037,0.0025,0.0,0.0,0.0,0.0,-0.023,0.0,0.0,-0.0021,0.0131,0.0006,0.0019,0.0021,0.0009,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,-0.0011,0.0013,0.0001
2026-07-14,18.0,18.0,18.0,18.0,2187100,0.0028,0.0009,0.0,0.0,0.0,0.0,0.0001,-0.0001,0.0001,-0.0121,0.0088,0.0,0.0006,0.0021,0.0009,-0.0091,0.0,-0.0005,0.0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,19.0,19.0,18.0,18.0,5905200,-0.0017,0.0,0.0,0.0001,0.0,0.0,0.0002,-0.002,-0.0017,0.0355,-0.0034,0.0,0.0001,-0.0013,0.0011,0.004,0.0,0.0001,-0.0317,0.0,0.0,0.0,0.0004,0.0019,0.0,-0.0016,0.0,0.0
2026-07-16,20.0,20.0,19.0,19.0,5994400,-0.0045,-0.0016,0.0,0.0,0.0,0.0,-0.0009,-0.003,0.0,0.0357,-0.0096,0.0,-0.0179,-0.0005,-0.0013,0.0011,0.0,0.0,-0.0228,0.0,0.0155,-0.0,0.0,0.0099,0.0,0.0,0.0,0.0
2026-07-17,22.0,22.0,22.0,22.0,5602700,-0.0124,-0.0106,-0.0008,-0.0003,0.0264,-0.0001,-0.0,0.0024,-0.0002,0.0298,-0.0085,-0.0,-0.0136,-0.004,-0.0012,-0.0019,-0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,20.0,24.0,20.0,24.0,18850500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,22.0,22.0,20.0,20.0,7244000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,23.0,24.0,22.0,24.0,7618300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,23.0,23.0,23.0,23.0,5374200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,21.0,23.0,21.0,23.0,5491300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
