Date,Close,High,Low,Open,Volume,XL,PD,EP,XC,SQ,CP,MG,SF,DH,AZ,NI,LG,TP,BQ,RO,KI,HP,AG,AI,XA,QA,YB,GR,AT,YJ,YP,ZP,CC,IF,OD,KK,DR,TF,BF,MU
2026-07-13,142.0,159.0,134.0,134.0,2465400,0.065,-0.0121,0.0,-0.0119,0.0002,0.0007,-0.0179,0.0,0.0013,0.0,-0.0051,-0.0,0.0,-0.0044,0.0,0.0,-0.0008,0.0,0.0009,0.0,0.0,-0.0006,0.0,0.0,0.0,-0.0071,0.0015,-0.004,-0.0001,-0.0005,-0.0099,-0.0029,0.0,0.0,0.0075
2026-07-14,137.0,148.0,128.0,148.0,1755000,-0.0189,-0.0106,0.0,0.0279,0.0001,0.0049,0.0311,0.0,0.0014,0.0,0.0053,0.0,0.0,0.003,0.0,0.0,-0.003,0.0,0.0,-0.0533,0.0008,0.0,0.0054,0.0,0.0015,-0.0047,0.0,0.0319,0.0,-0.0005,0.0048,0.0001,0.0,-0.0271,0.0
2026-07-15,134.0,137.0,129.0,137.0,4455100,0.0875,-0.0142,-0.0,-0.0002,0.0061,0.1025,0.0012,0.0,0.0231,0.0,0.0021,0.0,0.0,-0.0003,0.0,0.0,-0.1703,0.0,0.0,-0.1317,0.0008,0.0,0.0381,0.0,0.0,0.0343,0.0001,0.0139,0.0,0.002,0.004,0.001,0.0,0.0,0.0
2026-07-16,135.0,137.0,134.0,134.0,639400,0.0327,-0.0014,0.0,-0.0115,-0.0002,0.0,0.0,0.0,-0.0001,0.0019,0.0001,0.0,0.0001,0.0147,0.0,0.0,0.0,0.0,0.0,0.0074,-0.0004,0.0,0.0,0.0,0.0,-0.0011,0.0,-0.0421,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0
2026-07-17,140.0,163.0,140.0,145.0,16535600,-0.0215,0.0073,0.0019,0.0288,0.0154,-0.0628,-0.0318,0.0,-0.0027,-0.0017,0.0262,0.0006,-0.0008,-0.0232,0.0001,-0.0,-0.0177,0.0001,0.0013,-0.0122,-0.0012,0.0216,0.0034,0.0,-0.0034,-0.05,-0.0019,0.1201,0.0005,0.0159,-0.0143,0.0021,0.0,0.0,0.0
2026-07-20,140.0,145.0,138.0,139.0,964700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,143.0,145.0,139.0,140.0,495200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,141.0,143.0,138.0,143.0,652700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,140.0,142.0,139.0,140.0,671400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,150.0,185.0,135.0,140.0,28463500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
