Date,Close,High,Low,Open,Volume,EP,NI,TP,RO,CC,PD,BQ,RB,MG,YP,XC,LG,KK,XL,IU,OD,AZ,SQ,CP,YU,HP,DH,MU,CD,AG,DR,GR,AT,QA,XA,SF,AK,GI,KI,FZ,IN,YB,ZP,IF,TF,LS
2026-07-13,50.0,50.0,50.0,50.0,136000,0.0005,0.0,0.0,0.0,0.005,0.0006,0.0,-0.0005,0.0,0.0001,0.0002,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,-0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,50.0,50.0,50.0,50.0,195700,0.0001,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,-0.0003,0.0003,0.0004,0.0,0.0026,0.0006,0.0,0.0,0.0001,0.0005,-0.0094,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,50.0,50.0,50.0,50.0,225100,0.0005,0.0005,0.0,0.0,0.0025,0.001,0.0,-0.0007,0.0,0.0016,0.0036,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,-0.0105,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,50.0,50.0,50.0,50.0,10806100,0.0041,0.0001,0.0003,0.0,0.0035,0.0055,0.0,-0.0145,-0.272,0.0103,0.0052,0.0,0.0,0.0066,-0.0594,0.0005,0.5025,-0.05,-0.1428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,50.0,50.0,50.0,50.0,494100,0.0033,0.0003,0.0003,0.0,0.0017,0.0001,0.0,-0.0162,-0.011,0.0001,0.0008,0.001,0.0018,0.0179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,50.0,50.0,50.0,50.0,685500,-0.0027,0.0008,0.0001,0.0,0.0014,0.0001,0.0,0.0,-0.0273,0.0007,0.0194,0.004,0.0035,-0.0004,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0005
2026-07-21,50.0,50.0,50.0,50.0,953000,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,-0.0475,0.0222,0.0035,0.0,0.0,0.0128,0.0,0.003,0.0,0.0005,0.0,0.0,0.0,0.0001,0.0,0.0,0.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,51.0,51.0,50.0,50.0,41763900,-0.1154,-0.0246,0.0,-0.0,-0.0674,0.0463,0.0251,0.0,-0.1327,0.0633,0.1104,0.0095,0.0372,-0.3036,0.0,0.1023,0.0005,0.0079,0.095,-0.0,0.0054,0.1651,0.0,-0.0,0.0054,-0.0048,0.0148,-0.0001,0.002,0.0022,0.0426,-0.0,0.0,0.0,-0.0255,0.0,-0.0007,-0.06,-0.0,-0.0002,0.0
2026-07-23,51.0,52.0,50.0,51.0,43898600,-0.2302,0.0021,-0.0968,-0.0005,-0.0449,0.0583,-0.0093,0.1293,0.0106,0.0778,0.0606,-0.0108,-0.0628,0.0252,0.0,-0.1088,0.0022,-0.0215,0.045,0.0,-0.0332,0.273,0.1652,0.0,0.0003,-0.0126,0.0318,0.0168,0.001,-0.0075,-0.0435,-0.0071,0.0,0.0002,-0.0139,-0.1937,-0.0026,0.0,0.0,0.0,0.0
2026-07-24,50.0,51.0,50.0,51.0,13480300,-0.2104,0.0041,0.0003,-0.0,-0.0451,-0.0248,-0.0007,0.0,0.2467,0.1944,-0.0097,0.0,-0.0516,0.0064,0.0,0.0007,-0.002,0.0099,-0.001,0.0,0.0,0.019,-0.1342,0.0001,0.0,-0.0013,-0.0225,0.0003,0.0178,0.0,0.0218,-0.018,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
