Date,Close,High,Low,Open,Volume,NI,RO,XA,OD,DU,YB,QA,DR,SQ,YP,YU,ES,XC,LG,KK,XL,FS,AT,SA,ZP,AK,TP,EP,DH,PD,BQ,AZ,PF,IF,MG,KI,PC,MI,MU,GR,CC,CP,ID,SH,YJ,ZR,CD,SF,BR,AO,HP,AI,AG,FZ,HD,AD,RB,DX,GI,TF
2026-07-13,135.0,139.0,105.0,130.0,117770600,0.7485,0.0005,0.0,-0.1929,0.0,0.2176,0.0102,-0.0169,-0.0901,-0.2545,-0.0983,0.0,-0.1117,0.0005,0.0149,0.61,0.0,0.0151,0.0169,-0.001,0.0038,0.0,-0.0147,-0.029,-0.0997,-0.0345,0.0286,-0.2803,0.0,0.1497,-0.0556,0.2091,0.0181,-0.0356,-0.008,0.2113,-0.3396,-0.0123,-0.4778,-0.0068,0.1537,-0.0001,0.0,0.1679,0.018,-0.0135,0.003,-0.0001,0.0,0.0,-0.3037,-0.0142,-0.1067,0.0,0.0
2026-07-14,148.0,172.0,118.0,135.0,104376500,0.2962,0.0016,-0.0001,0.0495,0.0,-0.297,-0.0092,-0.0009,0.0463,0.0275,-0.069,0.0,0.0401,-0.0033,0.0765,0.6599,-0.0016,0.0143,-0.0397,-0.0031,0.0166,0.0001,0.0037,-0.0074,-0.09,-0.0595,0.0348,-0.0038,0.0022,-0.0482,-0.0254,-0.0238,-0.0468,-0.0145,0.0004,-0.1958,-0.0057,-0.008,-0.2664,0.0006,0.0256,0.0002,-0.0586,0.0373,-0.0259,0.0001,0.0001,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0
2026-07-15,144.0,155.0,136.0,148.0,35465000,0.3032,-0.0002,0.0,0.0405,0.0,0.0005,-0.0024,0.0036,0.0439,-0.0128,0.0,-0.0164,-0.0814,0.0002,0.0214,0.0539,-0.0015,0.0001,0.0205,-0.0005,0.0066,0.0,-0.007,-0.0067,-0.0452,-0.0026,0.0658,0.0012,-0.0023,0.0682,-0.0,-0.2085,0.0,0.0961,-0.0001,-0.6548,-0.0006,0.0543,-0.006,0.0,0.1031,0.0001,0.0473,0.0829,0.0389,0.0,-0.0034,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,156.0,162.0,138.0,147.0,44317100,-0.0184,-0.0003,0.0005,-0.0789,0.0006,-0.0014,0.0001,-0.0083,-0.1856,-0.0891,0.0,0.0,-0.0207,-0.005,-0.0162,-0.6986,0.0001,-0.0092,0.035,0.0067,0.4486,0.0,0.021,-0.0021,0.0195,-0.0819,-0.0288,-0.0047,-0.0,-0.0281,-0.2078,0.0121,0.0309,-0.1197,-0.0066,0.9934,-0.008,0.0417,0.0364,-0.0009,-0.02,0.0001,0.0095,-0.0192,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,151.0,164.0,148.0,164.0,19371300,-0.0037,-0.001,0.0121,0.0375,-0.0005,0.001,-0.0001,0.0131,-0.0367,0.0419,-0.0006,-0.0078,0.0374,-0.0029,0.0195,0.2261,-0.0001,0.0074,0.0275,0.0085,-0.1351,0.0014,-0.0175,0.0012,-0.014,0.0041,0.0801,0.0014,0.0001,0.0023,0.0002,-0.0001,0.0336,-0.0324,-0.0012,-0.299,-0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,145.0,151.0,142.0,151.0,18716700,-0.0227,0.0009,0.0174,0.0062,-0.0001,-0.0,-0.0,-0.014,-0.4891,-0.091,0.0,0.0,0.0121,0.0001,0.0237,0.1714,0.0,-0.0032,-0.0307,-0.0145,-0.1278,0.0,-0.0037,-0.0021,-0.0087,0.0033,0.0707,0.0029,0.0,0.0653,-0.0001,0.0094,0.0083,0.3218,0.0044,0.201,-0.0049,0.015,-0.032,0.0029,-0.0674,-0.0001,0.0027,-0.0301,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,155.0,159.0,144.0,147.0,26808300,0.4849,-0.0011,-0.0295,-0.0085,0.0,0.0007,0.0,-0.0046,0.0,-0.0047,0.0,0.0,-0.0451,-0.0156,-0.0077,-0.911,-0.0015,0.0,0.0256,-0.0776,0.0896,0.0,-0.0075,0.0,-0.0231,-0.0072,-0.0571,-0.0031,0.0,-0.0347,0.0,-0.0593,0.0294,-0.3655,0.0,1.1,-0.0172,-0.1072,-0.0041,-0.003,0.0109,0.0,-0.0064,-0.0244,0.0657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008
2026-07-22,158.0,160.0,149.0,157.0,9587500,0.3173,-0.0002,-0.0,-0.0002,0.0,0.0009,-0.0001,0.0055,-0.0045,-0.075,0.0,0.0,-0.0269,0.0005,0.0445,-0.3426,0.0,-0.0023,0.0,-0.0004,-0.0127,0.0,-0.0055,-0.0028,-0.0088,-0.003,-0.0024,-0.0016,0.0,0.0047,500.0,-0.0156,0.0,0.2009,-0.0045,-0.081,0.0018,0.0585,-0.0717,0.0,0.0345,0.0002,0.0082,-0.0224,0.038,0.0,0.0,-0.0312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,152.0,159.0,152.0,155.0,4921300,-0.0032,0.0012,0.0,-0.0063,0.0,-0.0001,0.0,-0.0053,-0.0004,-0.0431,0.0,0.0,-0.0221,-0.0005,-0.0002,0.0245,0.0,-0.0,0.0,0.0242,-0.0032,0.0,-0.0002,-0.002,0.0005,0.0002,0.0866,0.0,0.0,-0.0057,0.0,0.0292,0.0,-0.0085,0.002,-0.0485,-0.0008,0.0,0.0123,0.0,0.0061,0.0,0.0062,0.0138,-0.0566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,149.0,154.0,148.0,153.0,1455900,0.0,-0.0011,0.0,0.0,0.0,-0.0155,0.0,0.0,0.0,-0.0087,0.0,0.0,-0.0092,0.0001,0.0004,-0.0112,0.0,-0.0,0.0,-0.0283,0.0029,0.0,0.0,0.0,-0.0003,0.0005,-0.011,-0.0001,0.0,0.0,0.0,0.0011,0.0,0.0745,0.0,-0.0086,0.0,0.0149,0.0075,0.0,0.0,0.0,0.0,-0.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
