Date,Close,High,Low,Open,Volume,XC,SQ,YU,LG,AZ,KK,CP,ZP,AT,KI,OD,EP,AI,XL,AK,DH,BK,CC,YP,DX,TP,YB,AR,NI,BQ,AO,GR,PD,HP,RO,DR,QA,XA,GI,FS,HD,AG,YJ,SF,IF
2026-07-13,1510.0,1510.0,1500.0,1505.0,1182700,0.1329,0.055,0.0,-0.0032,-0.0138,0.021,-0.0132,-0.3223,-0.0001,0.0001,0.015,0.0325,0.0,0.162,-0.1063,0.0012,0.0027,-0.0653,0.0301,0.0105,-0.0008,0.0,0.0,-0.0053,0.0001,0.0,0.0258,-0.0142,0.0,0.0235,-0.0,0.0,0.0086,0.0,0.0204,0.0,0.0011,0.0001,0.0008,0.0009
2026-07-14,1540.0,1545.0,1510.0,1515.0,1565900,-0.0185,0.0364,0.0253,-0.0198,0.0,0.2154,0.1149,-0.744,-0.0045,0.0,-0.0196,0.0045,0.0779,-0.0459,-0.0826,0.0526,0.0266,0.0703,0.1028,0.0,0.0734,-0.0015,0.0,-0.0393,0.0003,-0.0148,-0.0057,0.2222,-0.0096,0.0034,0.0,0.0008,-0.0207,0.0,0.0,-0.0,-0.0002,0.0,0.0,0.0
2026-07-15,1540.0,1550.0,1525.0,1540.0,1075200,0.1385,0.0005,0.0319,-0.0288,-0.28,0.0022,-0.0071,0.0337,0.0,-0.0009,0.0377,-0.0011,0.0,0.2554,-0.1064,0.0019,0.0044,0.0676,-0.166,0.0,0.0,0.0,0.0,0.0019,0.0002,-0.207,0.1363,0.0224,0.0,-0.0003,0.0,0.0,0.0002,0.0,0.0616,0.0,0.0015,0.0,0.0,0.0
2026-07-16,1560.0,1570.0,1540.0,1540.0,723700,0.0236,-0.0223,0.0,0.0052,-0.0062,0.0104,0.0753,-0.0117,0.0,0.0,0.0543,0.0298,0.0267,-0.3089,-0.0234,0.0003,-0.0067,0.0798,0.0221,0.0,0.0457,0.0155,0.0,0.0022,-0.0002,0.0,0.0121,-0.0078,0.0,0.0019,-0.0154,500.0,-0.0019,0.0002,-0.0008,-0.0,0.0,0.0,0.0,0.0
2026-07-17,1580.0,1580.0,1555.0,1560.0,1928500,0.0708,0.4524,0.3145,-0.0006,-0.0028,-0.0828,-0.0498,-1.2,0.0016,0.0013,0.0283,0.0394,0.0126,0.4368,-0.1134,0.0155,-0.1531,0.2523,-0.0559,-0.0157,0.0445,0.0314,-0.0784,0.0739,0.0016,0.0246,0.0011,-0.121,-0.0005,0.0025,0.0365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1585.0,1595.0,1580.0,1580.0,1284400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1600.0,1600.0,1585.0,1590.0,1131200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1590.0,1600.0,1585.0,1600.0,1110500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1585.0,1595.0,1585.0,1595.0,906200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1560.0,1585.0,1560.0,1585.0,846500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
