Date,Close,High,Low,Open,Volume,DH,MG,AK,EP,XA,OD,SF,GR,CP,HD,CC,IN,YP,AG,AT,PD,IF,XL,CD,TP,LG,YB,YJ,ZP,DX,BK,YU,HP,DR,ES,RO,SQ,NI,AZ,XC,BQ,KK,QA,FZ,KI,BR,AI,OK,PG,SS,ZR,MI,AF,AO,TF,SH,DD,LS,MU,RB,RG,IH,PC
2026-07-13,125.0,126.0,122.0,126.0,23090700,0.0061,-0.0594,0.0257,-0.0011,0.0042,-0.0812,0.0,-0.0207,0.0115,0.0021,0.3026,0.0,0.0265,0.0,-0.0012,0.0192,0.0012,-0.1403,-0.0012,-0.0147,0.0969,0.1045,-0.056,0.1079,-0.0024,-0.07,-0.0132,-0.0137,0.0265,0.0,-0.0008,-0.0559,-0.1531,-0.0501,0.0085,0.0172,-0.0032,-0.0002,0.0,-0.0015,0.0,-0.025,0.0,0.0,0.0012,0.0,0.0,0.0,0.003,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,126.0,128.0,124.0,127.0,21624800,-0.0027,0.0289,-0.0654,-0.0509,0.0001,-0.1304,0.0,-0.0133,0.0526,-0.0038,0.0536,0.0,0.1074,0.0379,-0.0001,-0.0347,-0.0013,0.1391,0.0211,-0.1902,0.0411,-0.0035,-0.0007,-0.0308,0.0,-0.0503,0.0,0.0013,0.0306,0.0,-0.0001,-0.0061,-0.1372,0.1883,-0.0088,0.0132,-0.007,0.0006,0.0009,0.0,0.0,-0.0441,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032,0.0,0.0038,0.0,0.064,-0.0001,-0.0001,0.0,0.0,0.0
2026-07-15,137.0,145.0,125.0,126.0,289439100,0.0441,0.3544,0.0043,-0.0299,0.1175,0.0964,0.0,-0.0614,-0.0686,-0.0026,0.2816,0.0288,0.232,0.0783,0.1314,0.5066,0.0034,2.7,-0.164,-0.6535,-0.1238,-0.0548,0.0723,-3.2,-0.0073,-0.0637,-0.048,0.0442,-0.169,0.0,-0.0172,0.4013,-0.3839,-0.1207,-0.0452,0.0358,0.0392,-0.0012,-0.0011,0.0007,0.0103,-0.0075,0.0,-0.1711,-0.0028,-0.0055,0.1401,0.059,-0.0073,0.0001,0.0142,-0.0076,0.0182,0.0,0.0,0.0,0.0,0.0
2026-07-16,136.0,145.0,131.0,135.0,159753900,-0.0087,0.0,-0.0378,0.2116,0.0398,-0.0507,0.0,0.0282,0.1136,0.0675,-0.4791,0.042,0.2,0.0173,0.1765,0.0646,0.0024,-1.1,-0.101,-0.1727,0.0,0.9249,0.1268,-0.4289,0.0,-0.1981,0.0065,-0.0472,0.0144,0.0106,-0.003,0.4408,0.0407,-0.1,0.06,0.0133,0.1199,-0.1369,0.0141,-0.0002,0.0649,0.017,0.0042,-0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,136.0,140.0,135.0,136.0,28619000,-0.0336,0.0169,-0.0577,-0.0154,-0.0217,0.1388,-0.0003,0.0979,-0.0348,0.0706,-0.1739,-0.0278,-0.2601,-0.0082,-0.057,0.0455,-0.0023,0.0947,0.069,0.0312,0.0895,0.0228,-0.0271,0.5428,-0.0001,-0.1346,-0.1971,-0.0428,0.0193,-0.0007,-0.0061,-0.0911,0.0103,-0.0316,0.0037,-0.0061,-0.0231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,138.0,143.0,136.0,140.0,45637900,0.0154,0.0038,0.0631,0.3698,-0.011,-0.1649,0.0,0.1076,0.0585,-0.1386,0.3335,-0.0423,-0.1305,-0.0166,-0.0114,-0.7925,-0.0033,0.1371,0.069,-0.0069,-0.1192,-0.0133,-0.026,0.2867,-0.0002,0.0442,-0.011,0.0,-0.0103,0.0,300.0,0.6089,-0.1707,0.016,0.0139,-0.1182,-0.0917,0.0005,-0.0139,0.0014,0.0,-0.0019,0.0,0.0,0.0,0.0,-0.2363,-0.0051,0.0011,0.0,0.0,0.0,-0.002,-0.0,0.0077,0.0,0.0,0.0
2026-07-21,140.0,144.0,138.0,140.0,90924300,0.0213,0.0232,0.0394,-0.2573,0.1106,0.1476,0.0,-0.2198,-0.0609,-0.0026,-0.8685,0.0,0.6509,-0.0821,0.0631,0.0916,-0.0,0.6792,0.0151,-0.0709,-0.0688,-0.1796,-0.1189,-0.418,-0.006,-0.0441,0.1221,0.0192,0.0564,0.0,0.0021,-0.303,0.053,0.0319,0.2177,0.1482,0.2605,-0.1418,0.0,-0.0013,0.0,0.0992,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011,0.0,-0.0,0.0,-0.0004,0.0,-0.0075,0.0,0.0003,0.0002
2026-07-22,134.0,141.0,134.0,140.0,45803900,0.0034,-0.0662,-0.043,0.1263,-0.1391,0.1018,0.0,0.0492,-0.1481,0.0048,0.2407,0.0,-0.1195,0.0269,0.0266,-0.1323,0.0064,-0.4603,0.1925,0.0498,0.1329,0.0,0.0,0.1096,0.0027,0.0492,0.0177,0.0763,-0.0077,0.0,0.0,-0.591,-0.0539,0.0688,0.2647,0.1713,-0.0415,-0.0001,0.0,0.0824,0.0,0.0,0.0,0.0082,0.0027,0.0,0.0,0.0,0.0136,0.0,0.0,0.0,-0.0344,0.0,0.0,0.0069,0.0,0.0
2026-07-23,136.0,141.0,134.0,134.0,60240500,0.0755,-0.3103,0.4236,-0.0963,-0.0479,-0.2484,0.0,0.0355,0.1164,-0.0053,1.6,0.0,-0.5153,0.0536,-0.1003,0.239,0.0,-0.2667,0.0,-0.0797,-0.0075,-0.1244,0.0,-0.4111,0.0,0.0,0.0028,-0.0375,-0.0251,-0.0102,0.0003,-0.2851,0.0268,0.2938,-0.1338,-0.0334,-0.0073,0.0,0.0,0.0,0.0,-0.0139,0.0,-0.0082,0.0,0.0,-0.0414,0.0,-0.0139,0.0,0.0,0.0,-0.0349,0.0,0.0,-0.0069,0.0,0.0
2026-07-24,127.0,136.0,125.0,136.0,63099500,-0.0025,0.0335,-0.1752,0.0848,-0.011,0.3655,0.0,0.2539,-0.0295,0.0,-0.6427,0.0,0.4319,0.0256,0.0067,-0.083,0.0,-1.3,0.1748,0.0069,0.1153,-0.4759,0.0832,0.2242,-0.0023,-0.0364,0.0,-0.039,0.0211,0.0,0.0251,0.0837,0.0774,0.5561,-0.0155,0.0288,0.1162,-0.0,0.0,0.0,0.0,-0.0917,0.0,0.0645,0.0104,0.0064,0.0,0.0,0.0254,0.0,0.0,0.0075,0.064,0.0,0.0,-0.0001,0.0,0.0
