Date,Close,High,Low,Open,Volume,XC,YU,LG,XA,AZ,AT,AK,EP,YP,DH,CC,YB,NI,BQ,IU,PD,HD,QA,SQ,KK,LS,CP,ZP,KI,OD,BK,AG,XL,SH,FZ,MG,TP,RG,JB,AO,GR,FS,HP,RO,DR,SA,YJ,DX,AI,IF,PG,CD,YO,ZR,PC,MU,IN,GI,AR
2026-07-13,60.0,61.0,59.0,61.0,44635200,0.0071,-0.8594,0.0,0.0106,0.1218,-0.0051,0.2346,-0.1262,0.1502,0.0008,-0.0777,0.0006,-0.0427,0.0,0.0,0.1938,-0.1588,-0.0001,0.4168,0.0383,-0.0012,0.1811,-0.145,0.0012,0.0212,0.0099,0.0,-0.0138,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0017,-0.0177,0.0059,0.0,-0.0005,0.0,0.0,-0.0003,-0.0022,-0.0041,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.059
2026-07-14,60.0,62.0,59.0,60.0,75458100,0.019,-0.9576,0.0,-0.0007,-0.0075,-0.0001,0.7165,-0.099,-0.0296,-0.0027,-0.1675,-0.0013,0.126,0.0814,0.0,-0.238,-0.0046,-0.0,0.0056,-0.0127,0.0013,0.0488,-0.7766,-0.0119,-0.0297,0.1715,0.0122,-0.0228,0.0,-0.0646,0.1525,0.0,0.0,0.0,0.915,-0.0334,-0.0144,-0.0061,-0.0,-0.0041,0.0,0.244,-0.0096,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
2026-07-15,60.0,63.0,59.0,60.0,112032000,0.1975,0.4008,0.0006,-0.0005,-0.4084,0.0013,-0.0452,-0.1267,0.4223,0.031,0.1461,0.009,0.0733,0.1259,0.0,0.5477,0.0008,0.0,-0.5132,0.0422,0.0,-0.0199,-0.5833,-1.6,0.1405,0.0001,0.0122,0.384,0.0,0.0,0.0005,0.0428,0.0,0.0,0.5339,0.1386,0.0372,0.006,0.0253,0.0088,0.0,-0.0186,-0.0558,0.0,0.0,0.0,0.0,-0.0005,-0.0024,0.0,0.0,0.0,0.0,0.0
2026-07-16,63.0,63.0,60.0,60.0,148635100,-0.0449,-0.4032,-0.001,0.0087,-0.004,0.0024,-0.2048,-0.1069,-0.6597,0.0169,0.5252,0.015,1.4,-0.2038,0.0091,-0.3276,0.0002,-0.0,0.0139,0.0023,-0.0062,0.0653,-0.9191,-0.0016,-0.3635,0.0159,-0.0006,0.7062,0.0,0.0074,0.0995,0.0,0.0,0.0013,0.0095,0.017,0.027,0.3158,-0.0462,0.0485,-0.001,-0.2637,0.124,0.0774,0.0002,0.062,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,62.0,64.0,61.0,63.0,73884100,-0.1031,0.0306,-0.0,0.0,-0.0003,0.0704,-0.3728,0.0273,1.8,0.2993,-0.0725,0.0013,-0.4215,-0.0344,-0.0032,-0.133,0.0108,0.0048,0.0961,0.0069,-0.0013,-0.0151,-1.1,-0.0001,0.0181,-0.1497,-0.0619,0.034,0.0,0.003,0.1384,-0.0013,0.0,-0.0007,0.1891,-0.0515,-0.0025,-0.1698,-0.0093,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,62.0,64.0,61.0,62.0,94313000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,63.0,65.0,61.0,62.0,250648000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,63.0,64.0,62.0,64.0,124600700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,64.0,67.0,63.0,63.0,198809900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,61.0,64.0,61.0,64.0,92632900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
