Date,Close,High,Low,Open,Volume,CP,GR,RG,XL,CC,YP,AO,KK,FS,AT,DX,XC,LS,AZ,HP,PC,BK,TF,MG,YJ,PD,DR,XA,EP,RS,KI,AG,AI,SQ,TP,OD,QA,BQ,AK,NI,YU,YB,ZP,LG,BR,HD,RO,DH,JB,IF,MI,PG,SF,FZ,YO,PO
2026-07-13,218.0,220.0,214.0,216.0,19761000,0.4301,-0.0297,0.0,-0.0905,0.4103,-0.0644,0.0,-0.5188,0.0,0.0395,0.0,-0.011,0.0,-0.0829,-0.0981,0.0,-0.0254,0.0,-0.0007,0.0,-0.4411,0.0023,0.0,0.0033,0.0,800.0,-0.0,0.0097,-0.5851,0.0,-0.0114,0.0,-0.0013,0.362,0.0234,0.218,-0.0,0.4339,0.0064,0.0,-0.0002,0.0,0.1665,0.0,0.0,0.0025,-0.1516,0.0,0.0,0.0,0.0043
2026-07-14,220.0,224.0,216.0,220.0,23136900,0.0113,-0.0733,0.0011,-0.0628,0.2079,-0.626,0.0,0.015,0.0,-0.0486,0.037,-0.0195,0.0001,-0.0391,-0.0009,0.0,0.2065,0.0,-1.1,-0.0005,0.0603,0.0,0.0007,0.0151,0.0,-0.0013,0.0777,-0.0133,1.3,0.0149,-0.0038,0.0,0.0053,0.2151,0.0631,-0.1521,-0.0116,-0.0822,-0.0042,0.22,0.0184,0.0005,-0.0405,0.0,0.0,0.0025,-0.1772,0.0,0.0,0.0,0.0
2026-07-15,224.0,224.0,218.0,220.0,20203600,0.1181,-0.0005,0.0,-0.0484,-0.2693,-0.501,0.0,-0.3997,0.0133,0.0,0.0098,-0.0549,0.0001,-0.1636,0.0,-0.0008,0.0448,0.0,-0.0007,-0.0056,-0.1058,0.0555,0.3665,-0.0039,0.0,0.0222,-0.0001,0.0027,-0.1309,0.0,0.0008,-0.005,0.0153,0.1907,0.0864,-0.0939,0.008,0.052,-0.0165,1.4,-0.0123,-0.0012,-0.5866,0.0,0.0,0.0,0.0,-0.0,-0.0222,-0.0018,0.0
2026-07-16,226.0,228.0,222.0,224.0,29633900,0.006,0.1284,0.0,0.4625,0.444,0.4136,0.0,-0.7723,0.0,0.0387,-0.0145,-0.334,0.0001,-0.2484,0.0005,0.0,0.1758,0.0,0.0305,-0.0226,-0.47,0.0423,-0.0,0.0066,0.0,0.0,0.0,-0.2227,0.1893,0.0784,-0.4548,-0.0,-0.1907,0.1777,-0.0543,-0.1244,-0.0041,-0.0338,0.0302,0.3842,-0.002,-0.0001,0.1116,0.0001,-0.0003,0.0025,0.226,0.0,0.0,0.0,0.0
2026-07-17,228.0,230.0,222.0,226.0,37159900,0.2612,0.7363,0.0006,-0.2838,-0.5188,0.7092,0.0641,-0.1305,0.009,0.0037,0.0073,-0.023,-0.0008,-0.1899,0.0021,-0.0,-0.3258,0.0581,0.2277,-0.0,0.6346,-0.3395,-0.4524,0.0481,0.0224,-0.0011,-0.0012,-0.0013,-1.1,0.0902,-0.0409,-0.0018,0.002,0.0478,0.1045,-0.214,-0.0887,-0.0392,-0.0013,0.228,-0.0182,0.0043,0.5032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,230.0,236.0,228.0,228.0,39582700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,230.0,234.0,228.0,232.0,26990200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,228.0,232.0,226.0,230.0,26080400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,228.0,236.0,228.0,228.0,37033100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,228.0,228.0,220.0,228.0,38383600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
