Date,Close,High,Low,Open,Volume,GA,SQ,PI,OD,AK,XL,KK,IN,YP,AZ,BQ,AO,KI,BR,FS,CC,MG,ID,YB,AR,NI,LS,XC,YU,DU,CP,ZP,DH,IU,GR,PD,RO,FZ
2026-07-13,1170.0,1170.0,1160.0,1165.0,192800,0.0,0.0,0.035,0.0,-0.0035,-0.0078,0.0,0.039,-0.0003,0.0002,0.0389,0.0,0.0,0.0179,-0.0007,-0.0125,-0.0328,0.0,-0.0736,0.0,0.0,0.0,-0.0019,0.0,0.0,0.0,0.0386,0.0,0.039,0.0037,-0.0012,0.0,-0.0781
2026-07-14,1165.0,1165.0,1145.0,1165.0,725700,0.0,0.0,0.0409,0.0,0.0244,-0.0042,-0.017,0.0739,0.0,-0.0004,0.0449,0.0372,-0.0104,0.0466,0.0361,-0.0012,-0.7378,0.1254,0.0,0.0665,0.0,0.0782,-0.0006,0.028,0.037,-0.0066,0.0194,-0.0005,0.0464,0.0367,-0.0011,0.0381,0.0
2026-07-15,1165.0,1165.0,1155.0,1165.0,336300,0.0,0.0,0.0,-0.0283,0.0035,-0.003,0.0,-0.0031,0.0,0.0,0.036,0.0,0.0,0.0464,0.0336,0.0029,-0.3496,0.1342,-0.0041,0.0609,-0.0009,0.0716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1160.0,1165.0,1160.0,1165.0,136300,0.0868,0.0,0.0,0.0,-0.0001,-0.0114,0.0,-0.001,-0.0001,-0.0007,0.0007,-0.0007,-0.1415,0.0464,0.0232,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1160.0,1165.0,1160.0,1160.0,8400,0.0081,0.0005,-0.0016,0.0012,-0.0001,-0.007,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1160.0,1165.0,1160.0,1165.0,15800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1160.0,1160.0,1160.0,1160.0,50800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1160.0,1165.0,1160.0,1160.0,36300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1165.0,1165.0,1160.0,1165.0,33100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1165.0,1165.0,1160.0,1160.0,72600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
