Date,Close,High,Low,Open,Volume,NI,XA,CC,OD,DR,SQ,YP,XC,LG,KK,XL,YJ,AI,DH,AZ,IF,MG,CP,BK,RO,YU,AK,AT,ZP,TP,EP,PD,BQ,AG,KI,AR,GR,HD,AO,YB,RS,GA,DX,ES,HP,LS,SF,RB,CD,PG,EL,MI,FS,OK,FZ,RG,SH,PO
2026-07-13,3360.0,3360.0,3290.0,3320.0,447000,-0.0454,0.0,-0.1395,-0.0,0.0,0.0301,-0.0436,0.0565,-0.2773,0.0119,-0.0302,0.0,0.0,0.0144,0.1569,0.0,0.0,0.1395,0.0333,0.0,0.0017,0.1384,-0.0006,0.0,0.0003,0.0003,0.003,0.0,0.0,-0.0655,0.0,0.0083,-0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0007,0.0,-0.0003,0.0,0.0,0.0056,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,3440.0,3460.0,3340.0,3350.0,1332500,-0.2317,-0.001,0.7229,-0.0372,0.0,-0.0609,-0.3221,-0.1282,-0.479,-0.1614,-0.6262,0.0003,-0.1163,0.0289,-0.2219,-0.0017,0.0,0.087,-0.0478,-0.001,-0.0017,0.472,0.0171,0.021,0.4445,0.0606,-0.1224,0.0027,0.0,-0.07,-0.0341,0.0415,0.014,0.0,-0.031,0.0,0.0,0.0,0.0,0.0103,0.0,0.0,0.9441,-0.1712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,3500.0,3590.0,3400.0,3440.0,1851500,-0.7976,0.1742,0.1482,-0.0734,0.0472,-0.3497,-0.0803,0.0345,-0.0402,0.1564,0.4174,-0.0004,-0.0106,0.4276,0.1385,0.0007,0.0122,0.0732,-0.0022,-0.0029,-0.0043,-0.3608,0.0535,-0.0255,0.0384,0.012,0.2032,-0.0475,-0.0035,0.0693,-0.0336,-0.1668,-0.0144,0.0,-0.0634,0.0,0.0,0.0,0.0007,-0.0003,0.0088,0.0611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,3510.0,3630.0,3480.0,3550.0,1593100,-0.0441,-0.0739,-0.7284,-0.007,-0.0068,0.0072,0.1778,0.0276,-0.0068,0.0004,-0.5171,0.0,0.2154,0.5168,0.0843,-0.0201,0.0018,0.2114,0.3821,0.0135,-0.0018,-0.3387,0.0097,0.0328,0.0549,-0.0951,0.1933,-0.0011,-0.0,-0.0006,0.0,-0.1,0.0035,0.0,-0.0163,-0.0016,0.0304,-0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,3570.0,3600.0,3470.0,3510.0,982300,-0.0504,-0.2114,-0.0711,-0.0008,0.0041,0.1186,0.2777,0.164,-0.0634,-0.0082,-0.187,-0.1696,0.0007,0.2078,-0.0227,-0.0007,-0.0053,0.0016,-0.1753,-0.0025,0.1133,0.1724,-0.0269,-0.1181,0.3659,0.1719,-0.3255,0.0123,-0.0143,-0.071,-0.0036,-0.0852,0.0004,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,3570.0,3650.0,3550.0,3570.0,1211800,-0.0137,-0.0087,-0.1928,-0.0482,0.0007,0.0243,0.0818,0.1071,-0.0,0.1119,0.2722,-0.0093,0.0,0.6,0.0161,0.0022,-0.7186,-0.2242,0.3528,-0.013,-0.0018,-0.7009,-0.0182,0.0179,0.1567,0.2583,-0.064,0.0047,0.0,0.0,0.0,0.0078,-0.0032,0.0109,0.009,-0.0903,0.0,0.0,0.0,0.0724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,3650.0,3660.0,3570.0,3570.0,2622300,-0.0312,-0.0273,0.1394,-0.0576,0.0332,-0.2499,-0.1469,0.1083,-0.2952,-0.0306,0.7837,0.0619,-0.0037,0.3972,0.0222,0.0004,-0.0019,0.3298,0.3425,-0.0004,-3.4,0.6791,-0.0362,0.4299,0.1619,0.217,0.0102,-0.0015,0.0036,0.2002,0.0,0.3618,0.0005,0.0,0.036,0.0,-0.0318,0.0,0.0,-0.0004,-0.0004,0.0,0.7149,0.0,0.0,0.0,0.0,-0.0011,-0.7949,0.0,0.0,0.0,0.0905
2026-07-22,3690.0,3700.0,3600.0,3650.0,2136400,0.1404,0.0004,-0.2124,-0.013,-0.0245,-0.038,-0.0245,-0.1116,-0.1296,-0.0831,-0.537,1.7,0.3649,-0.0013,-0.1647,0.0,-0.0055,-0.1739,0.0652,0.004,0.0976,-0.1895,0.0,-0.2657,0.0039,-0.044,-0.088,0.0007,0.0,0.0395,0.0,-0.0048,0.0,0.0,-0.0274,0.0,0.0,0.0,0.0,0.0,-0.0059,0.0,0.5647,0.0,-0.0037,0.0,0.0,-0.0089,-0.73,0.0,0.0361,-0.0018,-0.0913
2026-07-23,3760.0,3940.0,3690.0,3700.0,4747500,0.0008,-0.2325,0.3545,-0.0889,-0.0393,-0.2566,-0.1523,-0.0986,-0.3965,-0.1217,1.4,-0.6165,-0.3868,-2.5,-0.0147,0.0,-0.0096,-1.0,0.5412,0.0,1.8,3.6,0.0426,-0.2068,-0.7407,-0.3101,0.0,0.0052,0.004,-0.3097,0.0,-0.2009,0.0,-0.034,-0.0199,0.0,0.0,0.0,0.0,-0.0483,0.0,0.0,0.0,-0.0291,0.0,0.0,0.0,-0.0298,-0.0152,0.0114,0.0,0.0,0.0
2026-07-24,3620.0,3740.0,3560.0,3740.0,1964100,0.0564,0.0,-0.9253,2.2,-0.037,0.0594,0.122,0.0,-0.08,0.2956,-0.244,0.3418,0.3309,0.0746,0.0065,-0.0558,0.0,0.003,-0.484,-0.0011,0.0389,-0.8903,-0.0344,0.046,0.0239,0.0466,0.1307,0.176,0.0074,0.0018,0.1074,0.044,0.0013,0.0,0.0046,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0018,0.0367,-1.4,-0.0202,0.0,0.0,0.0
