Date,Close,High,Low,Open,Volume,XC,SQ,XA,KK,NI,XL,YP,CC,PD,OD,EP,DX,RO
2026-07-13,290.0,290.0,288.0,290.0,4600,0.0001,0.0003,0.0,0.0,0.0,-0.0005,0.0001,-0.0001,0.0001,0.0,0.0,0.0,0.0
2026-07-14,288.0,294.0,288.0,294.0,9800,-0.0001,0.0,0.0001,-0.0,-0.0001,0.001,0.0004,-0.0017,0.0003,0.0001,0.0,0.0001,0.0
2026-07-15,290.0,292.0,288.0,288.0,67100,0.0,0.0,0.0,0.0,0.0008,0.0167,-0.0,-0.0175,0.0,0.0,0.0,0.0,0.0
2026-07-16,290.0,294.0,288.0,294.0,41800,0.0004,0.0,0.0,0.0,0.0,0.0014,0.0005,0.0,0.0,0.0001,-0.0024,0.0,0.0
2026-07-17,292.0,292.0,290.0,292.0,12800,-0.0003,0.0005,0.0,0.0002,0.0015,-0.0026,-0.0003,0.0012,-0.0003,0.0,0.0,0.0,0.0
2026-07-20,290.0,294.0,288.0,292.0,47200,,,,,,,,,,,,,
2026-07-21,294.0,294.0,288.0,288.0,108900,,,,,,,,,,,,,
2026-07-22,292.0,294.0,288.0,294.0,39600,,,,,,,,,,,,,
2026-07-23,294.0,294.0,288.0,292.0,40000,,,,,,,,,,,,,
2026-07-24,296.0,296.0,290.0,294.0,57400,,,,,,,,,,,,,
