Date,Close,High,Low,Open,Volume,CP,PD,XL,CC,NI,KI,KK,YB,DX,XC,SQ,BQ,YP,AT,EP,DR
2026-07-13,272.0,278.0,266.0,278.0,6600,0.0,-0.0001,0.0,0.0001,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0005
2026-07-14,268.0,278.0,268.0,278.0,10100,0.0,-0.0002,-0.0013,0.0017,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,-0.0001,0.0,0.0,0.0,-0.0004
2026-07-15,268.0,274.0,258.0,274.0,16000,0.0,-0.0005,0.0006,0.0004,0.0,0.0,0.0,0.0002,0.0,0.0001,0.0003,0.0012,-0.0022,0.0,-0.0,0.0
2026-07-16,272.0,280.0,264.0,268.0,33500,0.0002,0.0001,0.0035,-0.0002,0.0005,0.0,-0.001,0.0,-0.0004,-0.0008,-0.0,-0.0013,-0.0005,-0.0,0.0,0.0
2026-07-17,270.0,274.0,266.0,272.0,6600,0.0001,0.0,-0.0002,-0.0,-0.0002,0.0001,0.0003,0.0001,-0.0009,0.0008,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,272.0,278.0,268.0,278.0,48100,,,,,,,,,,,,,,,,
2026-07-21,270.0,276.0,268.0,276.0,147400,,,,,,,,,,,,,,,,
2026-07-22,264.0,270.0,262.0,270.0,13200,,,,,,,,,,,,,,,,
2026-07-23,270.0,272.0,262.0,262.0,134900,,,,,,,,,,,,,,,,
2026-07-24,268.0,270.0,258.0,270.0,28200,,,,,,,,,,,,,,,,
