Date,Close,High,Low,Open,Volume,CP,GR,XL,DR,CC,YP,NI,KK,AG,ID,XC,SQ,PD,XA,OD,QA,BQ,FZ,YU,YB,PO,BR,HD,RO,AR,IF,AZ,ES,KI,DH,AT
2026-07-13,194.0,206.0,194.0,200.0,343400,0.0033,0.0007,-0.0066,0.0,0.0018,0.0008,0.0061,-0.0006,-0.0002,0.0,-0.0128,0.0006,-0.0034,0.0,0.0059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0039,0.0,0.0006,0.0,0.0,0.0,0.0
2026-07-14,202.0,208.0,194.0,195.0,689000,-0.0,-0.0012,-0.0197,0.0,-0.0038,0.0067,0.0043,-0.0004,-0.0009,0.0,0.0018,0.001,0.0009,0.0,0.0042,0.0,-0.0006,0.0,0.0,0.004,0.0,0.0,0.0001,0.0,0.001,0.0,0.0019,0.0007,0.0001,-0.0001,0.0
2026-07-15,198.0,204.0,196.0,204.0,167000,0.0,-0.0,0.0005,0.0,-0.0032,0.0052,-0.0097,0.003,0.0,0.0,0.0001,0.0007,-0.0007,-0.0015,-0.0003,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0079,0.0,-0.0018,-0.0007,0.0,0.0,0.0
2026-07-16,206.0,206.0,192.0,200.0,516300,0.0001,0.0,-0.0478,-0.0021,0.0011,-0.0184,0.0035,0.0005,0.0004,0.0,0.0006,0.0549,0.0031,-0.0005,-0.0001,-0.0,-100.0,-0.0098,0.0,0.0068,0.0039,-0.0,-0.0002,0.0001,0.0039,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,202.0,212.0,200.0,206.0,364300,0.0001,-0.0007,-0.0431,0.0038,-0.01,-0.0049,0.0012,-0.0031,-0.0003,-0.0028,-0.001,0.0608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,210.0,210.0,202.0,202.0,185600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,206.0,210.0,204.0,210.0,136900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,200.0,208.0,200.0,206.0,431200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,204.0,206.0,197.0,202.0,358100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,204.0,216.0,204.0,210.0,2089700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
