Date,Close,High,Low,Open,Volume,DH,AK,EP,QA,XA,ZP,OD,DX,GR,CP,BK,PO,YU,HD,CC,HP,YP,DR,ES,RO,SQ,NI,AZ,XC,KK,PD,IF,XL,CD,TP,LG,YB,PC,AG,KZ,AT,AO,SH,FS,BQ,BB,AI,IT,LS,KI,GA,FZ,AD,BR,JB,IH,MG
2026-07-13,2480.0,2480.0,2430.0,2440.0,846500,-0.3685,0.1743,-0.0268,-0.0015,-0.0149,-0.2653,0.0913,-0.0059,0.0581,-0.0219,0.0024,0.0,0.1826,-0.0069,0.2946,0.0,-0.0234,-0.0076,0.0,0.0005,0.0122,0.044,0.0005,0.1229,-0.0112,0.0103,0.0,-0.0252,0.0,0.0069,0.0025,0.0517,0.0,0.0,0.0,-0.0246,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0074,-0.246,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,2520.0,2520.0,2460.0,2470.0,1477200,0.0017,0.2964,0.0135,0.0035,0.0002,-0.3384,-0.0269,-0.0025,-0.0152,0.0,0.1426,0.0,-0.001,-0.0,-0.7887,0.0,-0.1799,0.0072,0.0,-0.0002,0.055,0.0072,0.0,-0.0476,-0.0051,-0.04,-0.0005,0.8187,0.0025,0.001,0.0166,0.0755,0.0,0.0,0.0,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,2610.0,2620.0,2490.0,2520.0,2695000,-0.2538,-0.164,-0.0122,0.0,0.0,-0.4618,-0.7834,0.0,-0.1211,0.1012,0.0952,0.0,0.1258,-0.0,-0.463,0.0,-0.1649,-0.0908,0.0,-0.0159,0.0174,-0.0518,0.0,-0.0616,0.0416,-0.0651,-0.0018,4.0,-0.0088,-0.0005,-0.0649,0.0428,0.0,0.0,-0.325,-0.0028,0.0,0.0,0.0,-0.0003,-1.3,-0.0051,-0.0195,-0.0153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,2640.0,2700.0,2570.0,2600.0,3892600,-0.0056,-0.8843,-0.0022,-0.0003,-0.0422,-1.9,0.862,0.0,-0.1497,0.0689,-0.053,-0.0538,-1.7,0.0037,0.0017,-0.0341,-0.1012,-0.0343,0.0,0.0,-0.0058,-0.031,-0.0671,0.5585,0.1598,0.5363,-0.0686,3.6,0.0093,-0.0393,-0.0187,0.0024,-0.0032,0.0091,-0.39,-0.004,-0.0178,-0.0136,-0.132,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,2640.0,2660.0,2610.0,2630.0,1117500,-0.0504,-0.1842,-0.0194,-0.0013,0.0029,0.6993,-0.0518,-0.0027,0.0005,-0.0068,-0.0764,-0.0861,0.0011,-0.0003,0.2445,0.0021,0.1773,0.0008,-0.528,-0.0003,-0.1108,0.0026,0.0011,-0.1868,0.0823,0.0266,-0.264,0.2079,0.0013,0.0616,0.0024,0.0548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,2640.0,2690.0,2630.0,2640.0,3489100,-0.0095,-0.2417,-0.1009,0.0,-0.0008,-0.0335,0.0139,0.0,0.0283,-0.029,0.3573,0.0,3.6,-0.0029,-1.1,0.0,-0.0272,0.0053,0.0,0.0,0.0439,-0.2236,0.0,-0.445,0.5982,-1.8,0.0003,-0.3844,0.0,-0.0231,-0.2971,0.0005,0.0487,0.0,0.0,0.0053,0.0,0.0,0.0,-0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027
2026-07-21,2660.0,2690.0,2630.0,2650.0,1479900,-0.0613,-0.3572,-0.0029,0.0,0.0,-0.291,0.0103,-0.0145,-0.0085,0.0,0.0684,0.0,0.0168,0.0011,-1.1,0.0,0.2183,0.0053,0.0,-0.0034,-0.2372,-0.0218,-0.0399,0.1449,1.6,0.4036,0.0,-0.008,0.0,-0.1448,0.0011,-0.0083,0.0,-0.0053,0.0,-0.0417,0.0,0.0,0.0,0.0029,0.0,0.0,-0.1188,0.0,0.0,0.0,0.0,0.0,0.0,-0.0078,-0.0005,0.0
2026-07-22,2660.0,2670.0,2630.0,2660.0,519300,0.0005,-0.0092,-0.0013,0.0018,0.0,-0.1295,0.0271,0.0,-0.0109,-0.0029,0.0823,0.0,0.0011,-0.0019,-0.2013,0.0,0.0708,-0.0016,0.0,0.0011,-0.0232,-0.0082,0.0,0.0857,-0.0478,0.0442,0.0003,0.024,0.0,0.0013,0.0209,0.0797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,-0.0053,0.0,0.0,0.0,0.0,0.0,0.0013,0.0003,0.0,0.0,0.0
2026-07-23,2620.0,2660.0,2600.0,2650.0,764500,0.1427,-0.1681,0.0026,0.0013,0.0,-0.1474,-0.0047,0.0042,0.0,0.0287,-0.0276,0.0,-0.0196,0.0,-0.0093,0.0,-0.0368,0.0026,0.0,0.0005,-0.3489,0.0195,0.0,0.1421,0.0693,0.0338,0.0003,0.3298,0.0026,0.0077,-0.006,-0.0207,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013,0.0,0.0,0.0,0.0
2026-07-24,2570.0,2600.0,2550.0,2600.0,780000,-0.0249,0.4325,0.0003,-0.001,0.0026,-0.1611,-0.0064,0.001,0.0016,0.0,0.0,0.0,-0.0103,0.0,0.0873,-0.0182,0.0677,0.0015,0.0,0.0,0.1021,-0.0013,0.0,-0.5724,-0.11,-0.0091,0.0,0.2175,0.0038,0.0265,-0.0273,-0.0001,0.0,0.0,0.0,-0.0003,0.0,0.0,0.0,0.0028,0.0,0.0,0.0,0.0,-0.0052,0.0,0.0003,0.0,0.0,0.0,0.0,0.0
