Date,Close,High,Low,Open,Volume,NI,XA,OD,YB,SH,DR,SQ,YP,HP,XC,LG,KK,XL,YJ,SA,AI,DH,FZ,AZ,IF,PF,MG,LS,BS,CP,BK,RO,YU,ZR,AK,AT,RF,ZP,CD,TP,EP,PD,GA,BQ,BB,AG,KI,BR,AR,GR,RX,CC,AO,DX,QA,ES,RG,AD,PP,SF,IT,IN,HD,II,KZ,TS,AF,IU,DP,ID,MU,PO
2026-07-13,1255.0,1275.0,1240.0,1255.0,74642800,0.255,-0.2285,-0.2663,-0.1933,0.0,0.2035,0.0447,0.0864,0.0677,-0.4019,-0.5065,-0.4237,-4.2,0.0,0.0,-0.7638,-0.1295,-0.3206,1.0,0.0181,0.0,-0.1668,-0.0343,0.0,-0.1444,-0.7209,-0.057,8.5,0.0,5.2,0.0,0.0,-7.2,0.001,-2.1,-0.1242,1.6,0.0,0.2899,-3.8,-0.0889,-0.0941,0.0031,0.0,-1.5,0.0,4.5,-0.0767,0.6793,0.0404,0.0,-0.0838,0.0,0.0,0.0,0.0,1.6,0.1466,0.0,0.0,0.0,0.0,0.0,0.0,0.0113,-0.5663,0.0249
2026-07-14,1460.0,1480.0,1290.0,1290.0,200748800,-0.5552,-1.5,-5.2,-1.4,0.0,-1.8,9.5,-9.2,-0.6221,-4.9,24.1,-0.9006,-10.4,-0.3827,0.0,-0.399,0.0,-5.6,-2.5,0.0139,0.0,0.0,0.0,0.0,0.2293,5.1,0.0,0.3104,0.0,24.0,0.1275,0.0,-5.9,-0.3135,-3.7,-0.4278,0.0,0.0,0.0959,1.4,0.0007,0.0,0.0133,0.0,-2.6,1.3,1.1,0.0,-0.3286,0.0,0.0,0.0,0.0,0.0,0.0,0.276,-1.8,0.0,-3.2,-1.7,-2.8,-1.2,0.022,4.0,0.0,0.0,0.0
2026-07-15,1390.0,1480.0,1365.0,1470.0,119223000,-7.7,-0.2455,1.9,1.4,0.1581,2.4,1.0,3.3,0.0,1.3,1.8,3.4,15.8,1.1,0.0,-0.7181,0.0,0.0,-1.2,0.0,0.0,1.7,0.0,0.0,1.7,-1.5,0.2483,0.6922,0.0,-22.2,0.1767,-0.0212,-2.1,0.3424,-1.5,1.4,4.1,0.0,0.2215,0.0,1.3,0.5495,0.0,0.0,2.3,0.0,-12.8,0.0,0.0,-0.0367,0.0,0.0,0.0,0.0,0.0,0.281,-0.02,0.2927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1395.0,1415.0,1350.0,1385.0,66441900,-0.5406,0.2343,0.0653,0.8025,0.1521,-0.993,-3.6,0.0745,0.1292,0.9153,0.9318,0.4685,-4.2,-0.7495,-0.0003,0.2444,0.1039,0.0,-0.2541,-0.1177,0.0,3.2,0.0999,0.0,-0.0086,-0.7514,0.0523,0.631,0.0552,-4.9,0.0951,0.0,-1.3,0.3727,-0.8977,0.3458,5.7,0.0,-0.1967,-0.9684,0.764,4.9,-0.0002,0.0,1.6,0.0,-3.1,-0.025,0.4018,-0.009,-0.0003,-0.0286,-0.0,0.1191,-0.0272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1365.0,1410.0,1355.0,1400.0,35254500,0.2977,-0.0232,0.6435,-0.4729,-0.0137,-1.8,0.1269,0.7128,-0.0905,1.1,-5.0,0.0246,4.5,-0.0889,-0.0003,0.0201,0.0321,-0.0566,0.3297,-0.1985,-0.0014,0.9235,-0.0959,0.0273,0.8089,0.3351,0.1966,-0.0742,-0.043,-3.2,0.1334,1.1,0.6502,0.328,-1.1,-0.1129,1.4,0.1395,-0.5246,-3.8,-0.0929,0.0807,-0.0646,-0.04,2.0,0.0339,0.8889,-0.0147,-0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1425.0,1435.0,1405.0,1410.0,85647600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1430.0,1475.0,1425.0,1425.0,94894000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1510.0,1560.0,1455.0,1460.0,169273300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1555.0,1610.0,1530.0,1560.0,145935700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1450.0,1590.0,1430.0,1555.0,128022400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
