Date,Close,High,Low,Open,Volume,AI,TP,NI,DH,XA,HD,CC,PD,OD,AG,YB,SQ,YP,HP,XC,LG,KK,XL,RO,DR,AK,ZP,KI,GR,CP,CD,MG,KZ,AT,BK,AZ,EP,IF
2026-07-13,3120.0,3130.0,3060.0,3070.0,98300,-0.0009,0.0003,0.0098,-0.0062,0.0,-0.0003,0.06,-0.0034,-0.0028,-0.0012,0.0,-0.0077,0.0467,0.0,-0.0094,-0.0003,0.0012,-0.0283,0.0,0.0046,-0.0062,-0.046,0.0,0.0,-0.0019,0.0,0.0,0.0,0.0,0.0015,0.0,0.0003,-0.0099
2026-07-14,3130.0,3140.0,3100.0,3120.0,27200,0.0,0.0,0.014,0.0,0.0,0.0,-0.0044,0.0056,0.0025,0.0016,-0.0013,-0.0053,0.0009,0.0,0.004,0.0,0.0,-0.0021,-0.0012,0.0,-0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0109,0.0009,0.0,0.0
2026-07-15,3150.0,3170.0,3120.0,3130.0,39700,0.0,0.0,-0.0035,-0.0016,0.0,0.0,0.0413,0.0016,0.0057,0.0,0.0,0.0003,0.0032,0.0,-0.0009,0.0,0.0047,-0.0369,0.0,0.0,-0.0003,0.0,0.0,0.0003,-0.0047,0.0003,0.0101,-0.0183,-0.0013,0.0,0.0,0.0,0.0
2026-07-16,3190.0,3480.0,3120.0,3160.0,122100,-0.0063,0.0,-0.0179,-0.0054,0.0,0.0003,0.1379,-0.0051,-0.0107,0.0,0.0,0.0003,0.0289,0.0157,-0.0176,-0.0009,0.0275,-0.1173,0.0003,0.0013,-0.0003,-0.0363,0.005,-0.0003,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,3250.0,3330.0,3190.0,3220.0,106700,-0.0097,0.0362,-0.0144,-0.0007,0.0006,-0.0003,-0.1472,0.0075,-0.0039,0.0019,0.001,0.0003,0.0179,0.0164,0.045,-0.0003,0.0091,0.0406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,3320.0,3340.0,3250.0,3250.0,99300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,3340.0,3340.0,3310.0,3330.0,79600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,3310.0,3350.0,3310.0,3340.0,56000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,3330.0,3400.0,3300.0,3340.0,175200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,3320.0,3370.0,3250.0,3350.0,92800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
