Date,Close,High,Low,Open,Volume,XC,XL,CC,CP,OD,KK,NI,KI,PD,IF
2026-07-13,50.0,50.0,50.0,50.0,8000,0.0,0.0004,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,-0.0003
2026-07-14,50.0,50.0,50.0,50.0,189600,0.0,0.0007,0.0,-0.0095,0.0,0.0,0.0,0.0,0.0088,0.0
2026-07-15,50.0,50.0,50.0,50.0,46400,0.0002,0.0016,0.0,-0.0023,0.0,0.0,0.0006,0.0,0.0,0.0
2026-07-16,50.0,50.0,50.0,50.0,37700,0.0,-0.0012,0.0001,-0.0003,0.0001,0.0003,0.001,0.0,0.0,0.0
2026-07-17,50.0,50.0,50.0,50.0,38800,0.0,0.0005,0.0,-0.0006,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,50.0,50.0,50.0,50.0,57600,,,,,,,,,,
2026-07-21,50.0,50.0,50.0,50.0,74200,,,,,,,,,,
2026-07-22,50.0,53.0,50.0,50.0,334282100,,,,,,,,,,
2026-07-23,50.0,51.0,50.0,50.0,17417300,,,,,,,,,,
2026-07-24,50.0,50.0,50.0,50.0,3741000,,,,,,,,,,
