Date,Close,High,Low,Open,Volume,OD,XC,CP,BQ,AK,XL,PD,YP,NI,CC,KK,AZ,AT,HD,AI,DH,SQ,IN,XA,EP,DX,GI,YB,BR,GR,KI,LS,QA,YU,RB,MG,YJ,DR,FZ,RF,AG,TP,LG,RO
2026-07-13,82.0,83.0,79.0,82.0,2467900,0.0018,-0.0227,0.0003,-0.0012,0.0334,0.01,0.0003,0.0044,-0.0317,0.0139,0.0033,0.0161,0.0002,0.0005,-0.0,-0.0003,0.0,0.0,0.0037,-0.0368,0.0,0.0,0.0001,-0.0001,-0.0016,0.0,0.0,0.0,0.0049,0.0004,-0.0017,0.0012,0.002,-0.0001,0.0,0.0,-0.0006,0.0,0.0005
2026-07-14,83.0,83.0,80.0,81.0,1166900,-0.0003,0.0047,-0.0,0.0001,0.0027,0.0058,0.0046,-0.0048,0.0002,0.0019,0.0059,0.0,-0.0008,-0.0003,0.0,0.0,-0.0019,0.0,-0.0066,0.0025,0.0,0.0,-0.0017,0.0,0.0,0.0,0.0,0.0,0.0016,-0.0,-0.0093,-0.0012,0.0021,-0.0,-0.0049,0.0,0.0,0.0,0.0
2026-07-15,83.0,87.0,82.0,82.0,7061400,-0.0136,-0.0078,0.007,-0.0088,0.002,0.0384,-0.0217,-0.0558,-0.0091,0.0004,-0.0203,0.0006,-0.0002,-0.0003,0.0,0.0462,0.0,0.0,-0.0083,0.0017,0.0,0.0008,0.018,0.0,-0.0001,-0.004,0.0291,0.0,0.0001,-0.0012,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,84.0,85.0,83.0,83.0,3838600,0.0549,-0.0021,0.0025,0.0026,0.0161,0.0307,-0.1595,-0.0,0.0,-0.0234,0.0207,0.0003,0.0001,0.0001,0.0,0.0159,0.0,-0.0004,-0.0031,-0.0029,-0.0,-0.0008,0.0485,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,85.0,86.0,83.0,84.0,4404900,0.0116,-0.0491,0.0164,0.007,0.035,-0.0404,-0.0397,-0.0175,0.0067,-0.0157,0.0312,0.0005,-0.0004,0.0002,-0.0,0.0687,-0.0146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,85.0,87.0,84.0,85.0,2916800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,86.0,87.0,83.0,85.0,3552800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,86.0,88.0,85.0,86.0,2118100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,85.0,87.0,84.0,87.0,4641800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,85.0,85.0,82.0,85.0,5526800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
