Date,Close,High,Low,Open,Volume,HD,XL,PD,YU,XC,SQ,CP,DH,NI,LG,TP,KI,AG,PG,GR,YB,YP,AK,CC,OD,KK,DR,EP,MG,LS,AZ,BQ,BK,AI,ES,AT,FS,AF,RS,ZP,IF,QA
2026-07-13,2500.0,2530.0,2490.0,2530.0,200000,-0.0,-0.1728,-0.0027,0.0,0.0005,-0.0294,-0.008,0.0246,0.006,0.001,0.009,0.0,0.0095,-0.0124,-0.0003,-0.001,-0.0049,-0.1105,0.0028,-0.0012,0.0451,0.0,0.1928,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0018
2026-07-14,2480.0,2520.0,2470.0,2500.0,781500,-0.0005,-0.0537,0.1798,0.0,0.0027,0.5124,0.0,0.0142,-0.0052,0.0015,0.0,0.0,0.0,0.645,0.0,0.0,-0.0608,-1.5,-0.099,-0.0374,0.2906,0.0005,0.0,0.0966,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,2520.0,2530.0,2480.0,2480.0,613000,-0.0,-0.3978,-0.1728,-0.252,-0.0015,0.6143,0.0,-0.0008,-0.0173,-0.0085,0.9122,0.0,0.0,-0.2448,-0.0066,-0.0249,0.0003,0.0017,-0.0673,-0.0005,-0.2585,-0.0251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,0.0,0.0,-0.0499,0.0,0.0,0.0
2026-07-16,2590.0,2660.0,2520.0,2520.0,1770500,-0.1279,-0.6755,-0.4,-0.0655,-0.151,-0.1995,0.1169,-0.0053,-0.0899,-0.0303,0.5424,0.0,0.0177,-0.7616,-0.0751,-0.0034,0.628,0.0417,0.6017,0.0683,1.1,0.0191,-0.723,0.053,-0.0003,0.0027,0.026,0.0034,-0.0005,0.1804,0.0105,-0.0026,-0.0263,-0.013,0.0015,-0.0485,0.0
2026-07-17,2600.0,2660.0,2590.0,2600.0,658200,-0.001,-0.2147,-0.2575,0.0003,0.0086,-0.1338,-0.1115,0.0275,0.1969,0.0104,0.4703,0.0003,0.0008,0.0702,0.0003,-0.0003,0.5619,-0.0252,-0.3925,0.0008,-0.1984,-0.0132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,2590.0,2630.0,2570.0,2630.0,430000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,2580.0,2620.0,2560.0,2590.0,429700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,2610.0,2620.0,2580.0,2600.0,278400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,2700.0,2700.0,2620.0,2630.0,1471100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,2700.0,2700.0,2650.0,2680.0,194000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
