Date,Close,High,Low,Open,Volume,AK,NI,RO,XA,DH,CC,PD,OD,YB,PC,LS,DR,YP,XC,KK,XL,AT,EP,BQ,KI,SQ,ZP
2026-07-13,302.0,304.0,300.0,304.0,30200,0.0,-0.0001,200.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,-0.0015,0.0001,0.0008,0.0001,0.0002,0.0,0.0,0.0,0.0
2026-07-14,304.0,308.0,302.0,304.0,118600,0.0,-0.0044,0.0,0.0,-0.002,-0.0054,0.0002,0.0001,0.0,0.0,0.0,0.0,-0.0009,0.0013,0.0,0.0111,0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-15,302.0,304.0,300.0,304.0,195200,-0.003,-0.0342,-0.0015,0.0,0.0062,0.0026,0.0013,0.0001,0.0,0.0,0.0,0.0001,0.0043,0.0154,0.0,0.0079,0.0005,0.0,0.0,0.0,0.0,0.0003
2026-07-16,300.0,302.0,298.0,300.0,122500,0.0004,-0.0001,0.0001,0.0,0.0002,-0.0103,-0.0,0.0016,-0.0097,0.0002,0.0,0.0,0.0016,0.0039,0.0,0.0027,0.0002,0.0056,-0.0,0.0001,0.0035,0.0
2026-07-17,304.0,304.0,300.0,300.0,235000,0.0032,-0.0499,0.0324,0.0,-0.0031,-0.0056,0.0011,0.0029,0.0,0.0,0.0,-0.0,0.0114,0.0006,0.0015,0.005,0.0002,0.0,0.0,0.0,0.0,0.0
2026-07-20,308.0,310.0,304.0,304.0,203000,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,308.0,310.0,304.0,304.0,96700,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,308.0,310.0,306.0,306.0,92900,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,300.0,310.0,298.0,306.0,278700,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,296.0,304.0,288.0,300.0,1247600,,,,,,,,,,,,,,,,,,,,,,
