Date,Close,High,Low,Open,Volume,XL,AK,PD,EP,BR,AT,BK,DU,DX,CC,DH,XC,YP,CP,BQ
2026-07-13,272.0,274.0,272.0,274.0,17500,0.0011,-0.0004,0.0007,0.0,0.0005,0.0,-0.0002,0.0,0.0,0.0003,0.0,-0.0008,-0.0013,0.0,0.0
2026-07-14,274.0,274.0,272.0,274.0,187600,0.0209,0.0,0.0085,0.0001,0.0106,0.0,0.0,0.0003,0.0,0.0,-0.0008,0.0,-0.0,-0.0001,-0.0395
2026-07-15,274.0,274.0,272.0,274.0,37100,0.0028,0.0,0.0015,-0.0001,-0.0055,0.0,0.0,0.0003,0.0,0.0,-0.0,0.0,0.0011,0.0,0.0
2026-07-16,274.0,274.0,272.0,274.0,22900,0.0007,-0.0009,-0.0009,0.0,0.0008,0.0,-0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,272.0,274.0,272.0,274.0,127100,0.0082,-0.0057,-0.006,0.0002,0.0105,0.005,-0.0005,-0.0118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,272.0,274.0,272.0,274.0,99400,,,,,,,,,,,,,,,
2026-07-21,272.0,274.0,272.0,272.0,99000,,,,,,,,,,,,,,,
2026-07-22,272.0,274.0,272.0,272.0,422200,,,,,,,,,,,,,,,
2026-07-23,272.0,274.0,268.0,272.0,236400,,,,,,,,,,,,,,,
2026-07-24,270.0,274.0,270.0,272.0,43500,,,,,,,,,,,,,,,
