Date,Close,High,Low,Open,Volume,PC,SH,RO,CC,XL,IH,KK,CP,SF,AZ,QA,YP,XC,RG,ZR,EL,EP,PD,BR
2026-07-13,2500.0,2550.0,2480.0,2540.0,20700,0.0,0.0,0.0,-0.0015,0.0023,0.0,0.0005,0.0,-0.0038,-0.0442,0.0,-0.0018,0.0,0.0,0.0045,0.0196,-0.0003,-0.0003,0.0249
2026-07-14,2530.0,2580.0,2450.0,2500.0,16700,0.0263,0.0,0.0,-0.001,0.0015,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0005,-0.0404,0.0141,0.0,0.0,0.0,0.0
2026-07-15,2520.0,2530.0,2440.0,2500.0,14700,0.0,0.0,0.0,-0.0017,0.001,0.0,0.0002,-0.0345,0.0287,0.0063,0.0005,-0.0003,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,2520.0,2520.0,2510.0,2510.0,10300,0.0,0.0,0.0256,0.0,0.0003,0.0,-0.0005,-0.0254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,2500.0,2500.0,2440.0,2440.0,14600,0.0003,-0.0198,0.0359,-0.0007,-0.0,-0.0157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,2410.0,2500.0,2200.0,2490.0,26800,,,,,,,,,,,,,,,,,,,
2026-07-21,2420.0,2490.0,2340.0,2410.0,20200,,,,,,,,,,,,,,,,,,,
2026-07-22,2380.0,2410.0,2240.0,2380.0,29300,,,,,,,,,,,,,,,,,,,
2026-07-23,2480.0,2490.0,2250.0,2430.0,58600,,,,,,,,,,,,,,,,,,,
2026-07-24,2370.0,2540.0,2230.0,2480.0,38900,,,,,,,,,,,,,,,,,,,
