Date,Close,High,Low,Open,Volume,NI,OD,YB,QA,DR,SQ,YP,HP,XC,LG,KK,AK,XL,KZ,YJ,AI,CD,EP,PD,BQ,IF,PC,GR,CC,AO,CP,RO,AT,TP,DH,AZ,KI,BK,XA,JB,ZP,FS,AG,MG,HD,DX,DU,RF,EL,LS,IU,BR,TF,YU
2026-07-13,61.0,68.0,57.0,59.0,89953900,-0.0461,-0.008,-0.0083,0.0012,-0.0136,-0.0646,-0.0503,0.0,0.0313,-0.0247,-0.0229,-0.0009,0.449,-0.0121,0.0127,-0.0343,0.0,-0.0203,-0.0136,-0.1402,0.0,0.0,0.0192,0.0408,0.0,-0.028,0.0004,0.0006,0.0015,-0.1524,0.0011,0.0287,0.0041,0.0289,0.0,0.017,0.0,-0.0084,0.0007,0.0006,0.0001,0.0063,0.0094,-0.0052,-0.0,0.0006,0.0,0.0,0.0
2026-07-14,61.0,63.0,60.0,61.0,16396300,0.1675,0.0005,-0.0004,0.0003,0.012,0.0693,0.0388,0.011,-0.0288,0.0017,-0.0066,0.0007,-0.4695,-0.0334,0.0049,0.0178,0.0,0.0001,0.0201,0.0764,-300.0,0.0,-0.0082,-0.0041,0.0697,-0.0244,0.0,-0.0011,-0.0014,0.0014,0.0001,0.0871,0.0,-0.0,0.0,0.0014,0.0,0.0,0.005,0.0,0.0,-0.0061,-0.0018,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,61.0,64.0,60.0,62.0,35142000,-0.0889,0.0014,0.0292,-0.0011,0.0051,0.0155,0.0308,0.003,0.0194,0.0,0.0138,0.0001,-0.2528,0.0075,-0.0049,0.0056,0.0,0.0063,0.0641,0.0648,-0.0,0.0,-0.007,-0.0201,0.0677,0.0246,0.0,0.0003,0.0,0.0,0.1065,-0.027,0.0032,-0.03,0.0048,0.0003,-0.0586,0.0121,0.0002,0.0006,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,61.0,62.0,59.0,61.0,12242200,0.0555,0.0021,-0.001,0.0,0.0656,0.0165,-0.034,0.0,-0.0203,-0.0288,0.004,-0.0001,-0.1207,0.0217,0.0,0.009,0.006,0.0022,0.0438,0.0656,0.0,0.0,0.013,-0.0136,0.0,0.0012,-0.0,0.0,0.0003,-0.0052,0.0048,-0.0878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,62.0,62.0,60.0,60.0,8433700,-0.0943,-0.0027,-0.0299,0.0051,0.0681,-0.0125,0.1525,-0.003,-0.0148,0.0,-0.0016,0.0007,0.0122,0.0079,-0.0122,0.003,-0.0061,-0.0007,-0.0156,-0.0096,-0.0,-0.0008,-0.0122,-0.0044,-0.0043,-0.0249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,62.0,64.0,61.0,62.0,10999100,-0.0336,-0.0136,0.0004,0.0007,-0.0122,0.0306,0.002,0.0,-0.0129,-0.0012,0.0037,-0.0006,0.0195,0.0034,0.0,-0.007,0.0,-0.0191,-0.0334,-0.0026,-0.0,0.0,-0.0062,0.0304,0.0246,0.0054,0.0015,-0.0185,0.0003,0.0206,-0.0051,0.031,0.0068,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0097,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,63.0,64.0,62.0,63.0,12243300,0.0014,-0.0002,0.0001,-0.0,-0.0557,0.001,0.0091,0.0,0.0647,-0.0259,0.0017,0.0009,0.0177,0.0216,0.0,-0.0151,0.0,0.0036,-0.0354,0.0009,0.0,0.0,0.0001,0.0374,0.0063,-0.1293,-0.0004,0.0006,0.0,-0.0097,0.0025,0.0,0.0022,-0.0,0.0,0.0315,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0063
2026-07-22,63.0,64.0,61.0,63.0,8135900,-0.0,0.0001,0.0015,-0.0,0.0001,0.0028,-0.0029,0.0,0.0202,0.0003,0.0546,0.0007,-0.0492,0.0075,0.0,0.0019,0.0,0.0137,-0.0389,0.0013,0.0,0.0,0.0,-0.0122,0.0,0.003,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0006,0.0,0.0001,0.0,0.0,-0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,63.0,64.0,61.0,63.0,18017000,-0.0002,-0.0243,-0.0007,0.0019,0.0378,-0.065,0.4053,-0.0112,-0.0161,0.0,-0.0325,0.0018,-0.0671,0.0208,0.0,0.0012,0.0,-0.0111,0.0179,-0.0019,0.0,-0.0,0.0,-0.1591,0.0,-0.0068,0.0,0.0,0.0003,-0.006,0.0047,0.0065,0.0,0.0,0.0,0.0282,0.0,0.0,-0.1236,-0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,62.0,64.0,61.0,63.0,14054300,0.0118,0.0014,0.0016,0.0,0.0184,-0.0051,0.0341,0.0,0.1773,0.0,0.0627,0.0017,0.0541,0.0147,0.0,0.0031,0.0,0.0033,-0.1344,0.0304,0.0,0.0,0.006,0.0075,-0.0063,-0.0102,0.0,0.0012,0.0,-0.0063,-0.0025,0.0,0.0,0.0,0.0,0.0,-0.124,0.0,-0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0784,0.0,0.0
