Date,Close,High,Low,Open,Volume,NI,XA,CC,YB,QA,DR,SQ,YP,ES,HP,XC,LG,KK,XL,FS,YJ,KZ,AI,DH,AZ,MG,CP,BK,RO,RS,YU,AK,AT,ZP,TP,EP,PD,BQ,AG,KI,GR,HD,AO,DX,OD,SS,IF,LS,CD,SF,RX,IT,BB,BS,TF,YO,OK,BR,PC,RF,MI,PF,AF,MU
2026-07-13,555.0,560.0,540.0,555.0,21291800,0.0116,0.0001,-0.2491,0.0083,0.0,-0.0002,0.0972,0.0715,0.0,0.011,0.049,0.0,0.1149,0.7976,0.0,0.0058,-0.6756,0.0,0.011,0.0011,0.0,0.0164,-8.2,0.0041,0.0,6.3,-0.0614,-0.0001,-0.1278,0.0709,-0.1555,0.1152,-0.0079,0.0033,0.0206,0.0095,-0.0005,0.0001,-0.0003,0.0233,0.0,0.0027,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,565.0,575.0,550.0,555.0,11181400,3.3,0.0054,-0.8744,0.0078,0.0,-0.0011,-0.3841,0.0117,-0.0001,-0.0058,-0.0001,-0.0144,0.0581,0.0513,-0.0563,-0.0,-1.3,0.0,-0.0659,0.0001,0.0,-0.0005,0.3215,0.0006,0.0,0.0323,-0.5429,0.001,-0.3056,-0.0006,0.0002,0.0224,-0.0008,0.0143,-0.0262,-0.1634,-0.0037,0.0012,0.0,-0.0279,0.0,-0.0004,-0.0439,0.0,0.0,0.0,0.0,0.0,-0.0057,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,555.0,570.0,550.0,565.0,14947400,0.0719,-0.0799,-0.971,0.2111,0.0,-1.5,0.1276,0.1212,0.0,0.0056,0.0915,-0.0623,0.3755,0.7052,0.0,0.0058,0.0,0.0,0.0246,0.0641,0.0,-0.0004,0.0504,-0.0075,0.0,-0.079,0.1256,0.004,0.4095,0.1748,0.0224,0.4611,0.0565,0.0,0.0,1.6,0.0158,0.0,0.0,0.0889,0.0,0.0018,0.0018,0.0,0.0,-1.7,0.0083,-0.3701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,570.0,575.0,555.0,560.0,10890100,0.1814,-0.0198,-0.366,0.2738,-0.0017,0.1754,0.1091,0.0282,0.0,0.0014,0.072,-0.0162,-0.1807,0.01,0.0,-0.1716,0.0,0.0,0.3539,-0.0073,0.114,0.297,0.2061,0.0008,0.0,0.1258,0.0028,0.0014,-0.2036,-0.0565,-0.0043,0.0085,-0.0265,0.0011,-0.0001,-0.0002,-0.0045,0.0281,0.0,-0.0134,0.565,0.0014,-0.0013,0.0057,-0.0428,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,575.0,585.0,560.0,570.0,18669100,0.2479,0.1381,-0.5771,-0.0038,0.0006,-0.056,0.2571,0.8062,-0.0002,0.001,0.0756,0.8022,0.1542,-0.1128,-0.0017,0.0028,-2.8,0.0016,0.3263,-0.3941,0.0013,0.0363,0.2111,0.0004,0.0058,-0.3028,-0.9443,-0.0055,0.7731,0.0517,-0.1065,0.5994,0.2705,0.159,-0.0009,0.4364,-0.112,0.0287,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,580.0,590.0,575.0,575.0,15119400,0.0524,0.0304,-1.9,-0.0096,0.0,0.0551,0.9483,0.1653,0.0,0.0181,0.201,0.0396,0.0734,0.5299,0.0,-0.0001,-2.5,0.0099,0.1212,-0.0728,0.0,0.0121,0.1934,-0.0014,-0.0058,-0.1942,-0.2752,0.0177,-0.5538,0.0663,0.2087,2.3,0.013,-0.0012,0.2925,-0.0124,-0.2006,0.0,0.1454,0.023,0.0,0.1332,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,-0.0118,-0.0001
2026-07-21,590.0,595.0,575.0,585.0,21930800,0.0464,-0.0164,0.1585,-0.1056,-0.0005,0.024,1.3,-0.1851,0.0,0.0,0.1913,0.0202,0.4263,2.1,0.0,0.0411,0.0,0.0059,0.0687,0.0772,0.0177,0.1376,0.1325,0.0294,0.0,0.8893,-1.5,-0.0066,-0.0719,0.2,0.0267,0.1453,0.0585,0.0,0.4958,0.6176,-0.1993,0.0,-0.0043,0.4848,0.0,0.0095,0.0,-0.001,0.0,-5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,585.0,605.0,580.0,590.0,14910700,-0.3745,0.061,0.5762,0.0161,0.0,0.088,0.0264,0.6967,0.0057,0.0006,0.2616,0.0844,0.5096,0.2884,0.0,0.0003,0.0,-0.006,0.0793,0.021,0.1061,0.1121,-0.1005,-0.0321,0.0,-0.4028,-0.7902,-0.0052,-1.2,-0.0105,-0.1478,0.4918,0.5155,-0.0016,0.0021,-0.1488,-0.2065,0.0,-0.6813,0.0805,0.0,0.0434,0.0411,-0.005,0.0,0.0,0.0,0.0,-0.0059,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0012,0.0,0.0
2026-07-23,595.0,615.0,590.0,590.0,20760600,-0.7834,-0.0449,-0.1416,0.1231,0.0002,0.1015,-0.9352,1.6,-0.0001,-0.0036,-0.3375,0.156,-0.0595,-0.6042,-0.006,-0.0301,-0.012,-0.0116,0.155,0.1275,0.1942,0.0429,0.2946,-0.0006,1.1,0.0284,-2.4,-0.0196,-0.8852,0.0147,-0.0388,0.082,0.0004,-0.0311,-0.3054,2.7,-0.4168,0.1143,0.006,0.0022,0.0,0.1826,0.0,0.0,0.066,0.0,0.0,-0.3554,0.0,0.0005,0.0,0.0303,0.0,0.0,0.3,0.003,0.0,0.0,0.0
2026-07-24,575.0,595.0,575.0,595.0,8573200,-0.0811,0.0879,-0.3226,-0.1611,0.0,-0.0342,0.1685,0.2403,0.0029,0.0011,0.1517,0.0069,0.0712,0.7553,0.0,0.0151,0.0,0.1174,0.0205,0.0875,-0.1909,-0.0166,0.0,-0.0004,0.0,0.0867,-0.704,0.0001,-0.32,0.0176,0.018,0.1325,-0.2895,0.0152,-0.0015,0.0423,0.0062,0.0001,-0.005,-0.0137,0.0,-0.0059,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145,0.087,-0.0003,0.0,0.0,0.0,0.0,0.0
