Date,Close,High,Low,Open,Volume,QA,DH,MG,XA,DX,OD,GR,CP,HD,IC,CC,HP,YP,DR,RO,SQ,NI,AZ,XC,AT,KK,PD,XL,LG,YB,KI,ZP,ES,IU,TP,EP,AD,DU,AG,BQ,RS,PI,FZ,SF,PO,YO,OK,YU,AI,GI
2026-07-13,17.0,17.0,17.0,17.0,947400,-0.0017,0.0,0.0102,0.0,0.0,0.0022,0.0,0.0,0.0037,0.0,-0.0009,0.0,-0.0065,0.0,-0.0,0.0,-0.0006,0.0,-0.0001,0.0,-0.0,-0.0,-0.0049,0.0,0.0001,-0.0,0.0,0.0,0.0,0.0,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,18.0,18.0,18.0,18.0,11547100,0.0001,-0.0001,0.0366,0.012,0.0,0.0132,0.0005,-0.0058,-0.0012,0.0,-0.0093,0.0005,0.0048,-0.0,0.0,0.0,0.0,-0.0001,-0.0264,0.0,-0.1455,0.0184,0.0941,0.0,-0.0009,0.0,0.0,0.0022,0.0009,0.002,0.0,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,19.0,19.0,18.0,18.0,16029700,0.0,0.0,-0.1373,-0.012,0.0,-0.0034,0.0019,0.0086,0.0163,0.0,0.0276,0.0003,-0.0138,0.0028,0.0,0.0015,-0.0,0.0,0.028,0.0,-0.0147,0.023,0.0619,0.0,-0.0368,0.0,-0.0,0.0,0.0,0.0561,-0.0086,0.0018,-0.0042,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,20.0,20.0,19.0,19.0,12207100,0.0,-0.0,0.048,0.012,0.0,-0.015,0.0,0.0,-0.02,0.0,0.0039,0.0002,-0.0126,-0.0,0.0,0.0,0.001,-0.008,-0.0331,0.0,-0.0186,0.0177,0.0442,0.0,-0.0234,-0.0009,0.002,-0.0004,-0.001,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,21.0,22.0,21.0,21.0,20684600,0.0,-0.0,-0.0604,-0.0126,-0.0004,0.0186,0.0225,-0.0001,0.0149,-0.0004,0.0445,0.0002,-0.0073,-0.0,-0.0,0.0004,-0.0005,-0.0622,0.0333,-0.0022,-0.0014,-0.1482,0.1786,0.0005,-0.0176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,20.0,21.0,19.0,21.0,13903500,0.0005,-0.0,0.005,0.0,0.0,0.0018,0.0,0.0,-0.0142,0.0,0.0253,0.0001,0.0043,-0.0031,0.0003,-0.008,-0.0002,0.0,0.0161,-0.006,-0.0021,-0.016,-0.0811,0.0,0.0007,-0.0,0.0,-0.0004,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0459,0.0,0.0,0.04,0.0002,-0.0
2026-07-21,19.0,20.0,19.0,20.0,4621000,0.0,0.0,0.0,0.0,0.0,0.0002,0.0003,0.0,0.0,-0.0045,0.0006,0.0,0.0052,-0.0001,0.0,0.0002,-0.0103,0.0,-0.0014,0.0,0.0081,-0.0122,0.0028,0.0015,0.005,0.0,0.0,0.0,0.0,0.0,-0.0023,0.0,0.0,0.0,-0.0044,0.0,0.0,0.0,0.002,0.0095,0.0,0.0,0.0,0.0,0.0
2026-07-22,19.0,20.0,18.0,18.0,16952600,0.0005,0.0,0.0205,0.0001,0.0,0.0,0.0008,0.0,0.0,-0.1927,0.0036,0.0001,0.0202,0.0,0.0,0.0023,0.0,0.0079,0.041,0.0009,0.0001,0.055,0.0049,0.0003,0.0088,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,-0.0029,0.0,0.0,0.0,0.0239,0.0,-0.0003,0.0049,0.0,0.0,0.0
2026-07-23,18.0,19.0,18.0,18.0,36709400,0.0,0.0,0.0419,0.0,0.0,0.0019,0.0,0.0,0.0094,-0.3704,-0.0047,0.0001,-0.0359,0.0023,0.0001,0.001,0.0135,0.0064,0.0458,0.0002,0.0002,0.0401,0.1217,0.0,-0.0088,0.0,0.0036,0.0,0.0,0.0,0.0284,0.0,0.0,0.0001,0.0502,0.018,-0.0002,0.0001,0.0112,0.0237,0.0,0.0,0.0,0.0,0.0
2026-07-24,19.0,19.0,19.0,19.0,21111900,0.0,0.0,0.0009,0.019,0.0,-0.0019,-0.0067,0.0266,0.0,-0.1798,0.0009,0.0,0.0878,-0.0019,0.0,-0.0019,0.0,-0.0099,0.0064,0.0,0.0057,-0.1334,0.0757,0.0,0.1008,0.0,0.0,0.0,0.0,0.0,0.0105,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
