Date,Close,High,Low,Open,Volume,CP,GR,XL,CC,YP,AO,KK,AT,XC,AZ,PC,BK,MG,YJ,PD,DR,XA,EP,AI,SQ,TP,OD,BQ,AK,NI,YU,PG,YB,ZP,LG,RO,DH,LS,HP,KI,AG,ES,BR,SA,HD
2026-07-13,3160.0,3190.0,3090.0,3180.0,519100,-0.0004,0.0441,-0.1002,0.0626,0.0119,0.0,0.0325,0.0,0.0265,0.0,0.0,0.0004,0.0,0.0,-0.0233,0.0072,0.0,-0.017,0.0,0.0749,0.0515,0.0006,0.0,0.1419,0.0686,-0.0458,-0.0173,0.0,-0.3133,-0.005,0.0,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,3150.0,3170.0,3100.0,3160.0,685800,-0.0111,0.0363,-0.324,-0.0464,-0.2839,0.0,0.0385,0.0081,-0.1405,0.0071,0.0,-0.0283,0.0,0.0,0.0998,0.004,0.0,0.0,0.0357,0.4939,0.0,0.0,-0.0529,0.2999,0.0262,-0.2718,-0.0158,-0.0025,0.0179,0.0628,0.0,0.0474,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,3210.0,3240.0,3080.0,3140.0,1087800,0.0039,-0.0063,-0.1615,0.2617,-0.4196,0.0,0.0355,0.0004,-0.054,-0.056,0.0,0.0003,0.0098,0.0,-0.2383,0.0111,0.0,0.0003,-0.0055,0.0928,0.0,0.0141,-0.0141,0.6742,0.0434,-0.2995,-0.0487,0.0725,0.0709,0.0371,0.0,0.0,-0.0004,-0.0241,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,3500.0,3540.0,3200.0,3220.0,5263900,-0.4083,0.4094,1.1,-1.5,-0.9953,-0.307,-0.038,0.0164,-0.3108,-0.0094,0.0,0.0191,0.0577,-0.0034,0.4903,0.1228,0.0003,-0.8415,-0.3301,0.0382,-0.0106,0.0317,-0.3358,0.6344,-0.1096,0.1531,2.0,0.6618,-0.1846,-0.1622,0.001,-0.0026,-0.1044,0.0416,0.0101,-0.1388,-0.0197,0.0172,-0.0034,-0.0003
2026-07-17,3550.0,3550.0,3430.0,3500.0,1399700,0.2404,0.2019,0.1871,-0.3214,-0.2098,-0.035,0.1244,0.0024,-0.0073,0.0381,0.5249,-0.0852,-0.0531,-0.0018,-0.0545,-0.1401,0.0011,0.0253,0.0099,-0.196,0.0873,-0.0514,0.1634,-0.3702,0.0226,-0.0721,-0.0113,-0.0237,-0.0136,0.0057,-0.0014,0.0134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,3640.0,3650.0,3550.0,3560.0,1446800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,3800.0,3880.0,3600.0,3700.0,2819900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,3910.0,3920.0,3770.0,3800.0,2466600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,3950.0,4020.0,3870.0,3920.0,2810500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,3870.0,3940.0,3780.0,3940.0,1383800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
