Date,Close,High,Low,Open,Volume,CP,PD,DR,XL,XC,RG,OD,CC,EP,MG,SQ,YP,NI,AZ,KK
2026-07-13,430.0,452.0,410.0,410.0,40000,-0.0001,0.0,0.001,-0.0039,-0.0017,0.0,-0.0,-0.0001,0.0069,-0.0003,0.0,-0.0007,0.002,-0.0031,0.0
2026-07-14,422.0,428.0,414.0,414.0,25800,0.0,0.0,-0.0011,-0.0006,-0.0003,0.0016,0.0,0.0077,-0.007,-0.0003,-0.0001,0.0,0.0,0.0,0.0
2026-07-15,428.0,436.0,420.0,436.0,500,0.0,0.0001,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,426.0,430.0,414.0,422.0,4400,0.0002,0.0002,-0.0,0.0001,-0.0001,0.0,-0.0002,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,428.0,428.0,416.0,428.0,1800,-0.0001,0.0006,-0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,422.0,428.0,414.0,414.0,2900,-0.0001,0.0,-0.0,0.0005,0.0001,0.0,0.0,-0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,426.0,428.0,414.0,414.0,500,0.0,0.0001,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2026-07-22,426.0,426.0,426.0,426.0,0,,,,,,,,,,,,,,,
2026-07-23,426.0,426.0,414.0,426.0,1200,0.0,0.0002,-0.0,400.0,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,414.0,424.0,414.0,424.0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
