Date,Close,High,Low,Open,Volume,NI,DH,XA,CC,PD,BQ,OD,PC,SQ,YP,AT,XC,LG,KK,XL,CP,RO,QA,FS,TP,AZ,IF,PO,YB
2026-07-13,59.0,60.0,58.0,58.0,472100,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0006,-0.0018,0.0,0.0,0.0,0.0,0.0053,-0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,60.0,61.0,59.0,59.0,1707000,0.0006,0.0,0.0,0.0003,0.0752,0.0,0.0,-0.0,0.0,0.007,0.0,-0.027,0.0,-0.0009,-0.0554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002
2026-07-15,59.0,61.0,59.0,61.0,661300,0.0,0.0,0.0,-0.0001,-0.0002,0.0,0.0,0.0,0.0,0.0126,0.0001,0.0001,0.0,-0.0071,-0.0124,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,60.0,63.0,59.0,60.0,8140200,-0.0008,0.0,0.0021,0.0412,-0.0806,0.0,-0.0006,-0.0001,0.0004,-0.0289,-0.0015,0.0156,0.0,0.0025,0.0487,-0.0054,0.0051,0.0,0.0015,-0.0001,0.0006,-0.0,0.0,0.0
2026-07-17,59.0,61.0,58.0,61.0,3940200,-0.0009,0.0001,0.0009,0.001,0.0025,0.0002,0.0,0.0,-0.0004,0.0213,-0.0,-0.0019,0.0,0.0099,-0.0509,0.0183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,59.0,60.0,59.0,59.0,1303800,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,60.0,60.0,59.0,59.0,2140100,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,59.0,60.0,59.0,60.0,1048300,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,59.0,60.0,59.0,59.0,727700,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,59.0,66.0,58.0,59.0,15860100,,,,,,,,,,,,,,,,,,,,,,,,
