Date,Close,High,Low,Open,Volume,KI,EP,AK,ZP,OD,CP,BK,HD,CC,HP,YP,SQ,NI,XC,KK,PD,IF,XL,LG,YB,XA,SF,TP,FS,GR,GA,FZ,QA,SA,DR,RO,AZ,BQ,AO,MG,BR,PO,AT,AI,YU,LS
2026-07-13,760.0,795.0,735.0,750.0,1732200,0.2276,-0.1432,-0.0313,-0.1482,-0.0135,0.0145,-0.0001,-0.0001,-0.079,0.0121,0.0095,0.0057,-0.0155,0.0472,-0.0059,0.0244,-0.046,0.0333,0.0375,0.016,0.0043,0.0,0.0,-0.0002,0.0,0.0,0.0084,0.0002,0.0,0.0011,0.0,0.0,-0.0084,0.0378,-0.0001,0.0038,0.0077,0.0,0.0,0.0,0.0
2026-07-14,755.0,780.0,755.0,775.0,768400,0.0,-0.0009,-0.0112,-0.0028,0.016,-0.0097,-0.0325,-0.0,-0.0254,0.0,-0.1725,0.0012,-0.0152,0.018,-0.0039,0.004,0.0,0.2414,-0.0063,0.0077,0.0,0.0,0.0123,0.0,0.0006,0.0,0.0001,-0.0003,-0.0038,-0.0012,0.0001,0.0012,-0.0022,-0.0148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,750.0,770.0,745.0,750.0,965400,0.4351,-0.0075,0.0013,0.0,-0.0153,0.0,0.0172,0.0004,-0.0621,0.0,-0.2878,-0.0012,-0.0008,-0.0029,-0.0264,0.0356,0.0075,-0.089,0.0,-0.0204,0.0008,0.0145,0.0,0.0,-0.021,0.0258,-0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,760.0,760.0,750.0,755.0,526900,0.1586,0.0,-0.0027,0.0,0.0001,0.0,0.0,0.0896,-0.0085,0.0,0.003,0.0001,0.0,0.0211,0.0015,0.0136,0.0,-0.1934,0.0,-0.0016,-0.0893,0.0042,0.0038,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,760.0,760.0,750.0,760.0,286700,0.0798,0.0077,0.0026,-0.0015,-0.0004,-0.0003,0.0199,-0.0006,0.0058,-0.001,-0.006,-0.0002,-0.0076,-0.0448,0.001,-0.0059,0.0005,-0.0414,0.0002,-0.0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,755.0,760.0,745.0,760.0,527200,0.0552,0.0,0.0,-0.0108,0.0004,0.0,-0.0008,0.0005,0.0392,0.0,0.0008,0.0743,0.0068,-0.04,0.0011,-0.0196,0.0491,-0.0034,0.0,-0.0152,0.0,0.0,-0.0042,0.0005,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,-0.118,0.0,-0.0152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,725.0,760.0,720.0,750.0,2123500,0.0001,0.0463,-0.0524,-0.0002,-0.05,0.1155,-0.0074,-0.0886,-0.2277,-0.0036,0.0112,0.0004,0.0275,-0.0075,0.036,0.0093,-0.0056,0.2241,0.0434,0.0262,0.0885,0.037,-0.169,0.0002,0.0032,0.0,-0.0013,0.0,0.0,0.0435,0.0016,-0.0559,0.0089,0.0192,0.0,0.0,-0.0725,0.0,0.0,0.0,0.0
2026-07-22,750.0,755.0,730.0,730.0,1152300,-0.0005,0.0074,0.0012,0.0,-0.0897,-0.0374,-0.0011,0.0007,0.0184,0.0,-0.0036,0.2591,-0.0104,-0.0076,0.0022,0.009,-0.1033,-0.0879,0.0572,0.0,0.0,0.0,-0.0139,-0.0002,0.0008,0.0,0.0,0.0,0.0,0.0256,-0.0015,-0.0195,-0.0002,-0.0042,-0.0001,0.0,0.0,-0.0004,0.0,0.0,0.0
2026-07-23,760.0,830.0,740.0,760.0,3842200,0.7677,0.1284,-0.0015,-0.0921,0.0052,-0.0873,-0.0012,-0.0006,0.1988,0.0035,-0.3703,-0.2011,-0.0102,0.041,-0.0067,0.0516,-0.0172,-0.5232,-0.0002,-0.0139,0.3547,-0.0407,-0.0439,-0.0004,-0.0088,-0.0272,-0.0015,0.0,0.0,-0.0441,0.0045,-0.0432,-0.0085,-0.0112,-0.0033,0.002,-0.008,0.0,0.0061,0.0017,0.0011
2026-07-24,755.0,780.0,730.0,765.0,430800,-0.0003,-0.0641,-0.0024,-0.0001,0.0018,0.0224,-0.0038,-0.0001,-0.0415,0.0,0.0166,0.0006,0.005,-0.045,0.0,0.0775,0.0011,0.0675,0.0,0.0076,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,-0.0076,0.0,0.0,0.0,-0.0456,0.0,0.0,0.0,0.0012,0.0081,0.0,0.0
