Date,Close,High,Low,Open,Volume,NI,XA,CC,OD,ID,YB,PG,QA,DR,SQ,YP,ES,HP,XC,LG,KK,XL,FS,YJ,DH,AZ,IF,MG,LS,MI,CP,YU,AK,AT,ZP,EP,CD,TP,PD,BQ,AG,KI,BR,AR,GR,HD,AO,IH,RO,RG,AI,SS,PC
2026-07-13,81.0,82.0,80.0,80.0,734000,0.0001,0.0,0.0002,-0.0351,0.0,0.0,0.0,0.0,0.0,0.0002,0.0004,0.0,0.0,0.0047,0.0,0.0106,0.0197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,0.0,0.0016,0.0,-0.007,0.0,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,81.0,82.0,78.0,80.0,6006200,0.0001,0.0,0.004,0.0,0.0,0.0039,0.0,0.0,0.0001,0.0008,-0.0044,-0.0,0.0,0.0008,0.0,-0.0046,-0.1852,0.0,0.0008,0.0001,0.0,0.0143,0.0111,0.002,0.0,-0.0003,0.0,0.0,0.0,0.0205,-0.0007,0.0,0.0,0.0058,0.0,0.0,-0.0007,0.0,0.0,0.13,0.0001,0.0,0.0,0.0,0.0016,0.0,0.0,0.0
2026-07-15,82.0,83.0,80.0,81.0,1377300,0.0029,0.0,0.0025,-0.0032,0.0,0.0,0.0,0.0,0.0,-0.0008,-0.0417,-0.0017,0.0,-0.0023,0.0,-0.0144,0.0208,0.0,0.0,0.0,0.0,0.0023,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0043,0.0288,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,84.0,85.0,81.0,82.0,1031500,0.0158,0.0,-0.0,-0.0069,0.0,-0.0,0.0262,0.0,0.0,-0.0003,-0.0247,0.0,0.0,-0.0005,0.0,0.0012,-0.015,0.0,0.0,0.0107,-0.0002,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,93.0,107.0,84.0,84.0,88469800,-0.0532,0.0127,-0.1481,0.162,0.0001,0.0377,-0.032,0.0,0.0218,0.014,-0.1823,-0.0018,-0.0035,0.0217,0.0003,0.0403,0.7986,-0.0014,-0.0015,-0.0796,-0.1241,-0.0179,-0.0115,-0.002,-0.1096,0.0188,-0.1056,-0.0231,-0.1393,-0.0047,0.0117,-0.0038,-0.0019,0.0177,0.0122,-0.0003,0.0002,0.0002,-0.0106,-0.1126,-0.0007,0.0022,-0.0011,0.0,0.0,0.0,0.0,0.0
2026-07-20,93.0,97.0,90.0,94.0,12150900,-0.0003,-0.0087,0.1154,-0.0437,0.0001,-0.0152,0.0,0.0009,0.0147,-0.0276,0.0315,0.0,0.0003,-0.0317,-0.0,0.0566,-0.2031,0.0,0.0,0.01,0.0008,0.0,-0.0009,0.0,0.0,-0.0038,0.0202,-0.0001,-0.0005,0.0911,-0.0141,-0.0,-0.0123,0.0227,-0.0124,0.0,-0.0001,0.0003,0.01,-0.0005,-0.0001,0.0,0.0,0.0004,0.0,0.0,0.0,0.0
2026-07-21,94.0,96.0,92.0,94.0,4479600,0.0009,0.0,0.0546,0.0048,0.0,0.0,0.0,-0.001,-0.0136,0.0004,0.0029,0.0,0.0,-0.0027,0.0,0.0022,-0.1263,0.0,0.0,0.0009,0.0,-0.0001,0.0037,0.0,0.0,-0.0135,-0.0148,0.0,-0.0,0.0091,0.0001,0.0,0.0,0.0618,-0.0,0.0,0.0093,0.0,0.0015,0.01,0.0,0.0,0.0,0.0005,0.0,0.0,0.0093,0.0
2026-07-22,94.0,95.0,92.0,95.0,2800700,0.0,0.0012,-0.0578,-0.0045,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0105,0.0,0.0,0.0534,-0.0005,-0.0009,-0.0809,0.0,0.0,-0.0094,-0.0,0.0,0.0025,0.0,0.0465,-0.0002,0.0,0.0,-0.0018,0.0,-600.0,0.0,0.0005,0.0053,0.0,0.0,0.0,0.0,0.0094,0.0484,-0.0,0.0,0.0,-0.0007,0.0,0.0,0.0,0.0
2026-07-23,92.0,95.0,91.0,95.0,3940900,-0.0,0.0,0.0084,0.001,0.0,-0.0005,0.0,0.0,-0.0138,-0.0241,0.0361,-0.0,-0.0005,-0.0367,0.0,0.0043,-0.0931,0.0,0.0,0.0003,-0.0106,0.0107,0.0012,0.0,0.0935,-0.0002,0.0007,0.0,0.0,0.0,0.0002,0.0,0.0009,-0.0019,0.0049,0.0,0.0093,0.0,0.01,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,92.0,94.0,91.0,92.0,1182800,0.0,0.0,-0.007,-0.0073,0.0,0.0003,0.0,0.0,0.0093,-0.0072,-0.0064,0.0,0.0,-0.0092,0.0,-0.0065,0.0112,0.0,0.0,0.003,0.0,0.0,0.0048,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0021,0.0019,0.0,0.0,0.0,0.01,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
