Date,Close,High,Low,Open,Volume,NI,XA,OD,YB,PI,SQ,YP,XC,LG,KK,XL,AT,AI,EP,DH,PD,IF,MG,KI,GR,CC,RO,QA,DX,JB,ZP,TP,BQ,AZ,PC,FZ,CP,PG,DR,CD,SF,YU
2026-07-13,89.0,90.0,87.0,89.0,2929300,-0.0001,0.0,-0.0002,-0.004,0.0026,0.0002,-0.0125,-0.008,0.0,-0.0008,-0.0847,0.0,-0.0,-0.0002,0.0,-0.004,0.0444,0.0,0.0001,-0.0,0.0372,-0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0299,0.0,-0.0,0.0,0.0,0.0
2026-07-14,90.0,90.0,88.0,90.0,1773400,0.0101,0.0019,0.0014,0.0018,-0.0019,0.0131,0.01,0.0073,0.0,0.0009,0.0131,-0.0003,0.0178,0.0001,-0.0004,-0.0128,-0.0445,0.0,0.0,0.0178,-0.006,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0299,0.0001,-0.0,0.0003,0.0001,0.0
2026-07-15,90.0,90.0,89.0,90.0,337400,-0.0001,0.0,0.0015,-0.0,-0.0009,0.0,-0.0037,-0.0008,0.0,-0.0004,-0.002,-0.0,0.0014,0.0004,0.0,-0.0032,-0.0006,0.0,0.0,0.0,0.0083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,90.0,90.0,89.0,90.0,1004200,-0.0118,0.0,0.001,-0.0025,0.0,-0.0001,-0.003,-0.0032,0.0,0.0038,0.0416,-0.0001,0.0,0.0,0.0,-0.0172,0.0,0.0027,-0.0,-0.0001,-0.0027,-0.0001,-0.0001,-0.0045,-0.0001,0.0,0.0003,-0.0001,-0.0038,-0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,90.0,91.0,89.0,90.0,482500,0.0013,0.0,-0.0019,-0.0002,0.0018,-0.0025,0.0005,-0.0007,0.0,-0.0001,-0.0069,0.0,-0.009,0.0001,-0.0093,0.0154,-0.0,0.003,0.0,-0.0017,0.0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,91.0,93.0,90.0,91.0,3442500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,91.0,91.0,90.0,91.0,465000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,91.0,91.0,90.0,91.0,636900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,91.0,92.0,90.0,91.0,870900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,90.0,91.0,90.0,91.0,846100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
