Date,Close,High,Low,Open,Volume,XC,SQ,IF,NI,CC,XL,YP,CD,PD,LG,DR
2026-07-13,240.0,240.0,240.0,240.0,32300,-0.0,0.0,0.0062,0.0004,0.0,0.0007,0.0001,-0.0075,0.0,0.0,0.0001
2026-07-14,240.0,240.0,240.0,240.0,88800,0.0,0.0001,0.0071,0.0,0.0,0.0136,0.0,-0.0208,0.0,0.0,0.0
2026-07-15,240.0,240.0,240.0,240.0,43400,0.0,0.0,0.0064,0.0,0.0,0.004,0.0,-0.0104,0.0,0.0,0.0
2026-07-16,240.0,240.0,238.0,240.0,23400,0.0,0.0,0.0051,0.0,-0.001,-0.002,-0.0009,-0.0015,0.0002,0.0,0.0
2026-07-17,238.0,240.0,238.0,240.0,21400,-0.0002,0.0,0.0044,-0.0001,-0.0024,0.0002,-0.0012,-0.0007,0.0,0.0,0.0
2026-07-20,232.0,238.0,232.0,238.0,214000,,,,,,,,,,,
2026-07-21,232.0,232.0,232.0,232.0,41200,,,,,,,,,,,
2026-07-22,232.0,232.0,232.0,232.0,47900,,,,,,,,,,,
2026-07-23,232.0,232.0,232.0,232.0,29900,,,,,,,,,,,
2026-07-24,230.0,232.0,230.0,232.0,13800,,,,,,,,,,,
