Date,Close,High,Low,Open,Volume,CP,XL,CC,YP,PD,EP,KI,MI,AT,SF,XC,QA,BQ,NI,AZ,YB,LG,RO,DH,MG,CD,XA,AO,KK,AG,SQ,OD,ZP,GR,YU,TF
2026-07-13,49.0,50.0,48.0,49.0,852900,0.0,-0.002,-0.0171,0.0037,0.0,0.001,0.0,0.0,0.0,0.0,-0.0049,0.0176,0.0,0.0005,0.0,0.0001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0,0.0,0.0,0.0,0.0
2026-07-14,50.0,52.0,49.0,49.0,3578700,0.0,0.0361,-0.0015,0.0026,0.0029,-0.001,-0.0,0.0,0.0,0.0,-0.0431,-0.0143,-0.0,0.0084,-0.0011,-0.002,0.0,-0.0001,0.001,0.0,0.0,0.0,0.0,0.0152,-0.0,0.004,0.0054,0.0,-0.0124,0.0,0.0
2026-07-15,50.0,51.0,48.0,51.0,2727500,-0.0,0.0535,0.0072,0.001,-0.0098,0.0005,0.0,0.0,0.0005,-0.0001,0.005,0.0249,0.0,0.0097,-0.0,-0.0245,0.0,0.0,-0.0005,0.0,-0.0046,0.0,0.0,0.0001,0.0,-0.01,0.0074,-0.0495,0.0016,-0.0125,0.0
2026-07-16,49.0,51.0,47.0,50.0,3222200,0.0286,0.0052,0.0069,0.0164,-0.0,0.001,0.0008,0.0,0.0,0.0,0.0087,-0.0296,0.0,0.0019,0.004,0.0,0.0,0.0,-0.0,0.0073,0.0017,-0.0,0.0195,0.0025,0.0,-0.0031,0.0003,-0.072,0.0,0.0,0.0
2026-07-17,49.0,50.0,47.0,49.0,4743100,-0.0199,0.1025,0.0029,0.0118,0.0009,0.001,0.0,0.0009,0.0007,0.0012,0.0168,-0.0434,0.0001,0.0009,-0.0017,-0.0049,-0.0622,0.0002,-0.0005,-0.0074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,50.0,51.0,49.0,50.0,1141200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,50.0,50.0,48.0,50.0,2842000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,52.0,52.0,49.0,50.0,6580900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,50.0,53.0,50.0,53.0,7887400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,51.0,53.0,50.0,51.0,7531800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
