Date,Close,High,Low,Open,Volume,CP,GR,XL,PD,CC,IF,DR,EP,AO,XA,KK,YP,RS,AG,FS,MI,BK,DX,AI,XC,SQ,TP,OD,BQ,RX,AK,NI,YU,AZ,ZP,HP,LG,HD,RO,DH,BB,CD,PP,KI,MU,YB,PC,SF,IU,MG,FZ
2026-07-13,1205.0,1205.0,1190.0,1200.0,2963500,-0.0158,0.0006,0.5118,0.0229,0.7548,0.0002,-0.3348,0.0011,0.0002,0.0086,-0.0011,-0.1632,-0.0499,0.0,0.0,0.0024,0.1159,0.0,0.0,0.6975,0.4193,0.1818,-0.2733,0.006,-1.1,-0.3767,0.0002,0.1545,0.0086,-0.5502,0.0011,0.0016,-0.0013,-0.0389,-0.0023,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006
2026-07-14,1205.0,1225.0,1195.0,1205.0,1826200,0.0023,0.0527,0.177,-0.1849,-0.0788,0.0002,-0.5975,0.0134,0.0,0.0,0.0077,0.1176,0.0,0.0,-0.0039,0.0024,0.0486,0.0001,0.0,0.0051,0.6666,0.2564,-0.0045,0.0012,-0.6039,0.2559,-0.0084,-0.031,0.0243,-0.2254,0.0,0.0233,-0.0,0.0061,0.0023,0.0,0.0,0.0,0.0051,0.0,0.0,0.0,0.06,0.0051,0.0048,0.0
2026-07-15,1205.0,1210.0,1190.0,1205.0,1931100,0.0,0.0257,0.3962,0.0471,0.3406,-0.0503,-0.0905,0.0002,0.0,0.0,0.025,0.0076,-0.0499,0.0,0.0,0.0024,-0.0029,0.0004,0.0,0.2652,-0.3108,0.1139,-0.1181,0.0072,-0.7605,0.1612,0.0145,-0.0227,0.0301,-0.1317,0.0,-0.1045,-0.0,0.0004,0.0008,0.1892,0.0,0.0,0.0002,0.0,0.0048,0.009,0.0,0.0,0.0,0.0
2026-07-16,1200.0,1215.0,1200.0,1205.0,3350900,0.0102,0.0277,0.2313,-0.4843,-0.1263,-0.0011,0.3777,-0.001,0.0,0.0,0.0196,0.1819,0.0,0.0,0.0,0.0,0.1467,0.0006,0.0,0.7401,0.3381,0.1822,-0.3506,0.0048,-0.9164,-0.2394,0.132,0.06,0.0,-0.5633,0.0,0.0048,-0.0,0.0036,0.0072,0.3489,0.0005,-0.1304,-0.0005,0.0001,-0.0048,0.0,0.0,0.0,0.0,0.0
2026-07-17,1240.0,1250.0,1195.0,1200.0,6579400,0.1382,0.0863,0.3401,0.1329,0.1056,0.006,-0.546,0.0067,0.0387,-0.1226,0.1297,-0.0892,-0.05,-0.0002,-0.0128,0.0025,-0.0001,0.3268,0.0098,-0.7072,0.78,2.9,-0.1246,0.0199,-2.5,-0.5975,0.0153,-0.0095,0.044,-0.4508,0.062,0.0612,-0.0001,0.0012,-0.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1235.0,1260.0,1235.0,1240.0,1664900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1245.0,1250.0,1230.0,1240.0,2247000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1245.0,1255.0,1235.0,1245.0,1801500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1250.0,1270.0,1245.0,1255.0,4416800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1240.0,1250.0,1225.0,1235.0,2325600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
