Date,Close,High,Low,Open,Volume,NI,RO,XA,IN,GI,OD,DR,YP,XC,KK,XL,ZP,CD,EP,PD,BQ,AZ,KI,CC,IH,CP,HD,SQ,LG,IF
2026-07-13,177.0,183.0,171.0,178.0,379700,0.0009,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0073,0.0001,-0.0043,-0.0205,0.0,0.0,0.0,0.0019,0.0,0.0006,-0.0018,0.0059,0.0,-0.0001,0.0,0.01,0.0,-0.0001
2026-07-14,175.0,179.0,171.0,177.0,479000,0.0026,0.0,-0.0017,0.0,0.0,0.0002,0.0,0.0044,0.0068,-0.0487,0.0251,0.0001,0.0005,0.0,0.0047,0.0,0.0001,-0.0,0.0054,0.0,0.0,0.0,0.0006,0.0,0.0
2026-07-15,175.0,183.0,172.0,176.0,135900,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.002,0.0,-0.0097,0.0,0.0,0.0,0.0002,0.0,0.0,-0.0,0.0007,0.0,-0.0013,0.0,0.0021,0.0003,0.0
2026-07-16,172.0,180.0,168.0,180.0,1980100,0.0005,0.001,0.195,0.0,0.0,-0.001,-0.0014,0.0122,0.0074,-0.0202,-0.0331,0.0001,0.0,0.0003,0.0089,0.0001,0.0004,0.0017,0.021,0.0,0.0,-0.195,0.0021,0.0,0.0
2026-07-17,177.0,193.0,170.0,172.0,1805500,-0.0041,-0.0012,-800.0,0.0185,0.0039,-0.0091,0.0105,-0.0088,-0.0085,-0.0146,-0.0052,-0.0001,-0.0006,-0.0,-0.0151,0.0007,-0.0004,-0.0018,-0.0277,0.0554,0.0081,0.0,0.0,0.0,0.0
2026-07-20,188.0,204.0,178.0,183.0,3728700,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,186.0,190.0,182.0,190.0,1762900,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,186.0,187.0,182.0,187.0,268900,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,181.0,186.0,181.0,184.0,381400,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,183.0,188.0,178.0,187.0,263700,,,,,,,,,,,,,,,,,,,,,,,,,
