Date,Close,High,Low,Open,Volume,CD,ZR,CP,GR,XL,CC,YP,IF,AO,KK,FS,AT,DX,SH,DU,SF,LS,XC,AZ,HP,IH,PC,BK,TF,MG,YJ,PD,DR,XA,EP,KI,EL,AI,YO,SQ,TP,OD,QA,BQ,AK,NI,YU,YB,ZP,LG,BR,SA,HD,RO,AR,RG,RS,DH,BB,AG,PG,IU,MI,OK
2026-07-13,410.0,412.0,396.0,404.0,81386000,0.0,-0.0532,-0.3027,0.0481,-0.0885,-1.0,-0.0964,-0.0195,0.0,-0.1177,-0.0116,0.4073,0.0021,-0.0384,0.0,0.003,0.1005,0.1808,-0.2586,0.0542,0.1065,-0.0672,0.2038,0.1156,0.0,-0.1849,0.0376,-0.0786,0.0051,-0.3982,0.0,-0.03,0.0495,0.0202,-0.5056,0.2077,0.006,0.0,-0.0068,3.5,-1.3,0.0088,0.0025,-0.0142,0.0764,0.0886,0.0,0.1262,-0.0399,-0.0251,-0.0052,0.0,-0.014,-0.0174,0.0237,0.0,0.0012,-0.6692,0.0012
2026-07-14,414.0,426.0,406.0,410.0,99756000,0.0413,-0.0366,0.3599,-0.0379,-1.1,2.5,0.0312,-0.0009,-0.2529,-0.1467,0.0125,-0.4036,0.0044,0.0232,0.0,-0.0234,0.0016,-0.1893,0.0721,0.0111,-0.0189,0.085,1.2,0.0091,0.1361,0.2221,-0.0816,-0.0219,0.3795,0.0375,0.002,-0.1254,-0.0446,0.0,0.7655,-0.0228,0.2281,0.0,0.0,0.8109,-1.1,0.0857,-0.0125,-0.1005,-1.3,-0.1118,-0.018,-0.056,0.0893,0.03,0.0611,0.0,-0.0443,0.0,-0.0165,-2.0,0.0,0.0,0.0
2026-07-15,412.0,424.0,410.0,424.0,87619000,0.0,0.2997,-0.2734,0.0,3.2,-3.3,1.0,0.1648,0.0,0.0682,0.0,0.0643,0.0,0.0,0.0,0.0,0.0,0.7085,0.1203,-0.5038,-0.0436,-0.1258,-0.385,-0.214,0.0201,0.0905,0.3045,0.0707,-0.1252,0.0627,-0.0016,0.2549,0.0336,0.0,-0.0822,-0.1198,0.0184,-0.0001,0.0366,-2.8,1.4,0.0944,0.0346,0.0265,-0.1664,-0.0073,0.0,0.0356,-0.1902,0.0197,-0.0003,0.0,0.0387,0.0349,0.0,0.0,0.0,0.0,0.0
2026-07-16,426.0,432.0,410.0,414.0,89603800,-0.0577,0.1765,0.4966,-0.1816,-3.2,2.9,-0.9649,0.0,-0.4192,0.2181,0.0,-0.094,0.0,0.301,0.0032,0.0,-0.1032,-0.8511,0.0378,-0.2562,-0.0344,-0.1164,0.8617,-0.199,-0.0789,0.1973,-1.1,0.0285,-0.0517,0.0,0.0,0.0072,-0.0623,0.0,-0.2136,-0.1312,-0.1652,0.0,-0.083,3.9,-0.2111,0.0,0.0,0.0,0.0,-0.1004,0.0,0.0,-0.0716,0.0,-0.1272,0.0085,-0.0313,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,426.0,428.0,414.0,426.0,77902900,0.0186,-0.0278,-0.5091,-0.0237,1.4,-1.9,0.3621,-0.1817,0.2194,0.6365,-0.0217,0.0732,-0.0076,-0.0128,-0.0309,0.0149,0.1208,0.0427,0.1106,0.0727,-0.058,-0.0689,-0.1514,-0.1926,-0.0104,-0.4606,0.5963,-0.1503,-0.1392,0.0053,0.0405,0.0944,-0.0435,0.0116,0.0596,-0.0151,-0.173,0.0061,0.0242,-0.5844,0.688,-0.0885,0.0202,0.014,0.005,0.0736,-0.006,-0.047,0.2415,-0.0366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,432.0,434.0,420.0,428.0,80309800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,434.0,442.0,430.0,432.0,93988700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,434.0,442.0,428.0,438.0,80760500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,432.0,444.0,430.0,436.0,95208300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,424.0,432.0,420.0,430.0,74740200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
