Date,Close,High,Low,Open,Volume,XC,SQ,YB,KK,BQ,AG,XL,YP,DH,CC,PD,CP,OD,NI
2026-07-13,635.0,640.0,630.0,630.0,22400,0.0,0.0,0.0,0.0,0.0009,0.0,0.0004,0.0001,0.0,-0.0003,-0.0001,0.0123,0.0,-0.0133
2026-07-14,645.0,650.0,635.0,640.0,5200,-0.0001,0.0,0.0001,0.0004,0.0001,0.0,-0.0004,-0.0003,0.0003,0.0,-0.0001,0.0,0.0,0.0
2026-07-15,645.0,645.0,645.0,645.0,13900,0.0003,0.0,0.0,0.0,0.0,-0.0011,0.0002,-0.0009,0.0,-0.0065,0.0,0.0077,0.0002,0.0
2026-07-16,645.0,665.0,645.0,650.0,18200,-0.0008,0.0005,0.0001,0.0,0.0,0.0,-0.0055,0.0081,0.0,-0.005,0.0019,0.0006,0.0,0.0
2026-07-17,670.0,690.0,640.0,640.0,35100,-0.0002,0.013,0.0001,-0.0007,0.0021,-0.0009,-0.0165,-0.0008,-0.0003,-0.0005,0.0048,0.0,0.0,0.0
2026-07-20,660.0,670.0,650.0,670.0,8400,,,,,,,,,,,,,,
2026-07-21,675.0,685.0,645.0,645.0,13100,,,,,,,,,,,,,,
2026-07-22,670.0,670.0,660.0,670.0,4700,,,,,,,,,,,,,,
2026-07-23,655.0,670.0,650.0,670.0,11000,,,,,,,,,,,,,,
2026-07-24,655.0,670.0,655.0,670.0,3400,,,,,,,,,,,,,,
