Date,Close,High,Low,Open,Volume,CP,GR,XL,CC,YP,IF,AO,KK,FS,AT,XC,FZ,AZ,IU,HP,MG,PD,DR,XA,EP,KI,AG,SQ,TP,OD,QA,BQ,AK,NI,YU,YB,ZP,LG,RO,DH,HD,YJ,BK,DX,MU,PC,IN,GI
2026-07-13,60.0,62.0,58.0,59.0,20426000,-0.0071,0.0085,-0.0443,0.0251,0.0333,0.0,0.0,-0.0375,0.0,0.0,-0.0035,0.0009,0.0049,-0.0001,0.0021,-0.0013,0.0061,0.0035,-0.009,0.0,0.001,0.0,-0.001,0.0,0.0002,0.0029,0.006,0.0003,-0.0096,0.0,0.001,0.0,-0.0002,-0.0001,0.021,0.0,0.0,-0.0025,-0.0006,0.0,0.0,-0.0,0.0
2026-07-14,59.0,62.0,59.0,61.0,9525500,0.0,-0.0002,0.042,-0.0443,-0.09,0.0,0.0,0.0064,0.0006,0.0,0.0192,-0.0009,-0.0059,0.0005,-0.006,0.0,0.1202,-0.0496,0.0011,0.0,0.0001,0.0,-0.0066,0.0,-0.0003,0.0001,-0.0011,-0.0003,-0.0221,0.0006,-0.0177,0.0,0.0,0.001,0.0021,0.0505,0.0004,0.0,0.0,0.0,0.0001,0.0,0.0
2026-07-15,59.0,60.0,58.0,60.0,6293900,0.0028,0.003,0.1053,-0.0895,0.0024,0.0,0.0,0.0007,0.0018,0.0,-0.0092,0.0,-0.0031,0.0108,0.0,0.0093,0.0056,-0.0015,-0.0002,-0.0004,0.0,0.0,0.0158,0.0,0.0052,0.0001,0.0147,0.0005,0.0053,0.0,-0.001,-0.0177,-0.0012,-0.001,0.0,-0.024,-0.0004,-0.0017,-0.0029,-0.0295,0.0,0.0,0.0
2026-07-16,59.0,61.0,58.0,60.0,10692500,0.0021,0.0002,0.0403,-0.0371,0.0909,0.0,0.0,-0.0009,0.0,-0.0076,0.0113,0.0,-0.0037,-0.0034,-0.006,-0.0046,-0.002,0.0029,0.0531,0.001,-0.0,0.0,-0.0164,0.0,-0.0076,-0.0011,-0.0292,-0.0006,0.0239,0.0,-0.0043,0.0,-0.0742,0.0001,-0.0,-0.0273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,63.0,66.0,60.0,60.0,48466900,-0.0047,-0.0044,0.2622,-0.0013,-0.1333,-0.0009,0.0037,0.0118,-0.025,0.0008,0.0088,0.0,0.062,-0.0221,0.0509,-0.0053,-0.2684,0.1084,-0.0571,0.0112,-0.0002,0.0001,0.0019,-0.0023,-0.0061,-0.0059,-0.0158,-0.0001,-0.0521,-0.005,0.012,-0.0018,0.0,-0.0,0.0779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,63.0,64.0,61.0,64.0,22487700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,63.0,65.0,62.0,64.0,14150600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,64.0,65.0,63.0,63.0,9752500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,63.0,66.0,62.0,65.0,23983400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,61.0,63.0,60.0,63.0,8729700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
