Date,Close,High,Low,Open,Volume,DH,YP,SQ,OD,NI,BQ,XC,PD,XL,YU,CC,YB,EP,AK,CP,AG,AT,KK,TP,DX,GR,LG,BK,IF,CD,KI,ZP,RO
2026-07-13,8050.0,8150.0,8000.0,8150.0,11100,0.0,-0.0194,0.0048,0.0008,0.0016,-0.0,-0.0016,-0.0199,0.0274,0.0,-0.0097,0.0,-0.0008,0.0,-0.0008,0.0,0.0,0.0268,0.0,0.0,0.0,-0.0008,-0.0016,-0.0162,0.0096,0.0,0.0,0.0
2026-07-14,8075.0,8125.0,8075.0,8125.0,4500,0.0145,-0.0024,0.0,0.0008,-0.0008,-0.0016,0.0032,-0.0113,-0.0008,0.0,0.0,0.0,-0.004,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,8150.0,8200.0,8075.0,8075.0,54500,-0.0147,0.2239,0.0777,0.0008,0.0057,0.0,-0.0122,-0.0008,-0.0041,-0.0122,-0.1661,0.0,-0.0057,-0.0751,0.0,0.0,0.0,-0.0066,0.0,-0.0082,-0.004,0.0016,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,8325.0,8350.0,8150.0,8150.0,68200,-0.0025,-0.129,0.4576,-0.0008,-0.0523,-0.0108,-0.0,-0.038,-0.0132,0.0,-0.169,0.0,-0.0033,-0.0008,-0.0098,-0.0017,-0.0016,-0.0206,-0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,8300.0,8325.0,8150.0,8250.0,16300,-0.0028,0.0314,0.0008,-0.0017,0.0,0.0008,0.0083,0.0091,-0.0302,-0.0025,-0.0125,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,8300.0,8375.0,8300.0,8300.0,19400,0.0,0.0901,-0.005,-0.0,-0.02,-0.0008,0.0008,0.0042,0.0016,0.0,-0.0691,0.0,0.0,-0.0008,0.0,0.0,-0.0008,-0.0042,0.0,0.0,0.0025,0.0,0.0,0.0008,0.0,0.0,0.0,0.0008
2026-07-21,8300.0,8350.0,8275.0,8325.0,13400,0.0,-0.0199,0.0,0.0008,0.0,0.0,-0.0042,0.005,0.0456,0.0208,-0.0357,0.0,0.0008,0.0,0.0,0.0,0.0,-0.0199,0.0,0.0,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,8275.0,8300.0,8250.0,8300.0,4000,-0.0067,0.0041,-0.0017,-0.0008,0.0033,0.0,0.0008,0.0,0.0017,-0.0025,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0
2026-07-23,8300.0,8350.0,8250.0,8300.0,25500,-0.0208,0.0857,-0.0132,0.0,-0.0025,0.0,0.0008,-0.0008,0.0639,0.0,-0.0716,0.0,0.0,-0.0042,0.0,0.0,-0.0008,-0.0291,-0.0083,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,-0.0,0.0
2026-07-24,8250.0,8350.0,8225.0,8350.0,10700,0.0296,0.0017,0.0,0.0,0.0033,-0.0042,0.0041,-0.0156,-0.0008,0.0083,-0.0263,0.0,0.0041,-0.0008,0.0,0.0,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033,0.0,0.0008,0.0,0.0
