Date,Close,High,Low,Open,Volume,CD,CP,GR,XL,CC,YP,IF,AO,KK,AT,DX,XC,MU,AZ,IU,HP,PC,RF,MG,YJ,PD,DR,XA,EP,KI,AG,AI,SQ,TP,OD,QA,BQ,AK,NI,YU,YB,ZP,LG,RO,DH,AR,BK,PI,FZ,ES,GI,RB,HD
2026-07-13,59.0,63.0,58.0,60.0,220932100,0.0,0.0887,0.0536,-0.3566,-0.4191,0.2776,-0.0006,0.0174,0.0526,-0.0109,0.012,0.0987,0.0,0.0711,0.0574,0.0,0.0124,0.0059,0.0447,0.0,0.0289,0.137,0.0373,-0.0372,-0.0502,0.0131,0.0408,-0.0093,0.0059,0.0131,-0.0186,-0.3317,-0.0081,0.0153,0.0231,0.0902,-0.0025,-0.003,0.0135,0.0136,0.0,-0.0189,0.0,0.057,0.0,-0.0039,-0.018,-0.0007
2026-07-14,59.0,60.0,57.0,59.0,49978900,0.0,-0.0039,0.0238,-0.2486,-0.0002,0.0014,0.0,0.0,0.0036,-0.0002,0.0,0.037,0.0,0.0028,-0.0005,0.0,-0.0118,0.0,-0.0058,0.0,0.055,-0.0197,0.0068,0.0025,0.0118,-0.0135,0.0001,0.0208,0.0,0.0076,0.0002,0.0088,0.0906,-0.0184,-0.0701,0.1156,0.0002,0.0058,-0.0112,0.0016,0.0017,0.0247,0.0,-0.019,0.0006,0.0,0.0,0.0
2026-07-15,58.0,59.0,58.0,59.0,22036500,0.0,-0.0003,-0.0676,-0.1918,0.0085,0.1264,-0.0,0.0,0.0003,0.012,0.0,-0.0009,-100.0,0.0112,0.0232,0.0,0.0,0.0,0.0002,0.0058,0.0528,0.0042,0.0018,-0.0044,0.0531,0.0,0.0135,-0.0042,0.0,0.007,-0.0002,0.0072,0.0001,0.0215,0.0,-0.0338,0.0,-0.0001,0.0,-0.0005,-0.0017,0.0,-0.0012,-0.0422,0.0,0.0,0.0,0.0
2026-07-16,69.0,74.0,57.0,58.0,373844700,0.0,-0.1771,-0.0496,-2.3,-0.3135,-0.2243,0.0023,0.0,-0.1306,0.0147,-0.0121,-0.3965,-0.0153,-0.057,-0.1014,0.0,0.0,-0.007,0.008,-0.0252,-0.231,-0.0982,3.9,-0.0979,-0.074,0.0001,-0.056,-0.0631,0.0,-0.0229,-0.0073,0.0059,0.6044,0.005,0.0317,-0.0818,-0.1589,0.1897,0.0,-0.021,0.0,-0.046,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,75.0,76.0,65.0,72.0,471375800,0.0,-0.1332,0.0304,0.1256,-0.0476,1.0,-0.0031,0.3294,-0.0452,-0.0295,0.0005,0.1697,-0.0387,-0.2305,0.0027,0.0011,0.0085,-0.0111,-0.0021,-0.0221,-0.0598,-0.0756,-0.0122,-0.0124,0.0035,0.0068,0.0001,0.0087,-0.0173,-0.1035,-0.0048,0.3492,-0.7358,-0.0918,-0.0478,-0.1176,-0.023,-0.0877,0.0,-0.007,-0.1103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,68.0,81.0,67.0,76.0,486220300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,66.0,69.0,65.0,68.0,105080500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,68.0,71.0,65.0,67.0,104302600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,68.0,72.0,67.0,69.0,102941100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,66.0,69.0,65.0,68.0,29128600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
