Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor,XC,XL,YP,CC,NI,EP,PD,OD,AZ,MG,AK
2026-07-13,950.0,950.0,940.0,950.0,1400,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0,0.0011,0.0,-0.0009,0.0,0.0,0.0,0.0,0.0002,-0.0004,0.0
2026-07-14,990.0,990.0,900.0,925.0,42300,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0055,-0.0065,0.0002,-0.003,0.0187,-0.0001,0.0083,-0.0,0.0003,-0.0124,0.0001
2026-07-15,980.0,985.0,980.0,985.0,3700,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0002,0.0024,-0.003,0.0008,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,980.0,980.0,940.0,975.0,1800,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0007,0.0003,-0.0001,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,980.0,980.0,975.0,975.0,500,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0002,-0.0002,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,980.0,980.0,980.0,980.0,1300,,,,,,,,,,,,,
2026-07-21,980.0,980.0,900.0,975.0,10500,,,,,,,,,,,,,
2026-07-22,975.0,980.0,970.0,980.0,5500,,,,,,,,,,,,,
2026-07-23,975.0,975.0,975.0,975.0,1200,,,,,,,,,,,,,
2026-07-24,975.0,975.0,970.0,975.0,800,,,,,,,,,,,,,
