Date,Close,High,Low,Open,Volume,NI,HD,XA,OD,YB,PG,QA,SH,DR,SQ,YP,HP,XC,LG,KK,XL,YJ,AI,DH,FZ,AZ,IF,MG,LS,MU,CP,AD,RO,YU,ZR,AK,AT,ZP,TP,EP,PD,BQ,AG,KI,GR,CC,AO,DX,PO,CD
2026-07-13,101.0,104.0,99.0,103.0,1660900,0.001,0.0,0.0303,-0.01,0.0,0.0,0.0,0.0,-0.0991,-0.0027,0.0173,0.0,0.0018,0.0,0.0021,0.0293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0001,-0.0,0.0,-0.0001,0.0,0.0007,0.002,0.0001,-0.0162,0.0,0.0005,0.0,-0.001,0.0027,0.0396,0.0,0.0,0.0013
2026-07-14,102.0,104.0,100.0,103.0,1132800,0.0002,0.0,0.0,-0.0004,0.0,0.0,0.0,0.0102,-0.0345,-0.0086,0.0458,0.0,0.0061,0.0,0.0018,-0.0105,0.0,0.0,0.002,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,-0.0001,-0.0,0.0023,0.001,0.0,-0.0083,0.0,0.0002,0.0,-0.0046,-0.0034,0.0,0.0,0.0,0.0
2026-07-15,103.0,104.0,101.0,102.0,356200,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,-0.0006,-0.0014,0.0,0.0003,0.0003,-0.0005,-0.0007,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.0,0.0001,0.0,0.0,0.0,-0.0198,0.0029,0.0,0.0,0.0,0.0001
2026-07-16,103.0,105.0,103.0,105.0,2344200,0.0001,0.0832,-0.0832,-0.0173,0.0,0.0,0.0,0.0,-0.0188,0.0002,-0.0058,0.0,-0.004,0.0001,-0.0037,-0.0514,0.0001,0.0,0.0,0.0,0.0629,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0001,-0.005,-0.0021,0.0,0.0,-0.0041,0.0487,0.0,0.0,-0.0,0.0
2026-07-17,121.0,134.0,103.0,103.0,94379600,0.0016,-0.0,-0.121,0.0457,0.0247,0.0001,0.0001,-0.0242,-0.4404,-0.0697,-0.4822,0.0012,-0.1821,-0.0032,0.0279,1.3,0.0016,-0.0077,0.0089,-0.0,-0.1156,-0.0,-0.0916,-0.0001,-0.0,-0.0254,0.0,0.027,-0.0003,0.0001,-0.0943,-0.0081,-0.0025,0.1471,-0.0024,0.1449,0.0016,0.0002,-0.0003,0.006,0.0086,-0.058,0.0087,0.0,0.0
2026-07-20,119.0,129.0,118.0,125.0,12481900,-0.0159,0.0,-0.007,-0.0134,-0.012,0.0,0.0001,0.0,0.0791,0.0131,0.0076,-0.0011,-0.0359,0.0638,0.0311,-0.4571,0.0001,0.0,0.0131,0.0,-0.0035,0.0,-0.0002,0.0001,0.0,0.0,0.0,0.0002,0.0,0.0,0.0514,0.0012,-0.0003,0.0391,-0.001,0.1573,0.0014,-0.0005,0.0,0.0203,0.0691,0.0,-0.0001,0.0,0.0
2026-07-21,118.0,120.0,117.0,118.0,3864300,0.0002,-0.0951,0.0952,-0.0199,0.0,0.0,-0.0,0.0,-0.0236,0.0118,-0.0242,0.0,-0.0242,0.0119,0.0093,-0.1257,0.0007,0.0024,0.0006,0.0,0.0016,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0055,0.0,-0.0012,0.0384,-0.0005,0.09,0.0,-0.0002,0.0,0.0023,0.0432,0.0,-0.0024,-0.0001,0.0043
2026-07-22,120.0,121.0,118.0,120.0,2188300,0.0169,0.0,0.0,-0.0002,400.0,0.0,0.0,0.0,0.0009,0.0012,-0.0514,0.0,0.0242,0.0,0.007,-0.0467,0.0,-0.0212,-0.0002,0.0,-0.0102,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0003,0.0,0.0,0.0093,0.0,0.0,0.0067,-0.0002,0.0347,0.0001,0.0,0.0,-0.0012,0.0306,0.0,0.0,0.0,0.0
2026-07-23,115.0,120.0,114.0,120.0,4294000,0.0137,0.0,0.0,0.0003,-0.0091,-0.0001,0.0001,0.0,-0.0085,-0.0017,0.182,0.0,-0.0157,0.0035,0.0094,-0.1377,0.0012,-0.0469,-0.0036,0.0,0.0126,0.0,0.0047,0.0,0.0,0.0276,0.0,0.0,0.0,0.0,-0.0016,0.0,0.0001,0.0403,0.0048,0.0532,-0.0048,0.0,0.0002,0.0,-0.1242,0.0,0.0,0.0,0.0
2026-07-24,113.0,115.0,111.0,115.0,1887000,0.0075,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.001,-0.0059,0.0106,0.0,0.0049,0.0002,0.0001,-0.0182,0.0,-0.0142,-0.0001,0.0,0.0216,-0.0,-0.0046,0.0,0.0,0.0274,0.0,0.0001,0.0,0.0,0.019,0.0075,0.0,0.0098,-0.0021,0.0003,0.0,0.0,0.0001,-0.0,-0.0677,0.0,0.0023,0.0,0.0
