Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor,XC,SQ,YJ,LG,AZ,XA,KK,ZP,AT,OD,EP,XL,YP,CC,FZ,GI,FS,NI,GR,DU,HP,PD,CP,AI,MG,YB,BQ,MU,DR,YU,DH,QA,RO,IU,IN
2026-07-13,48.0,49.0,48.0,49.0,4230200,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0007,-0.0012,0.0,0.0036,0.0,-0.0,-0.0021,0.0,-0.01,-0.0013,0.0,0.0956,-0.0081,-0.0261,0.0,0.0,0.0,-0.0,-0.0002,0.0,0.0,0.0029,-0.0021,-0.0095,0.0049,0.0,0.0,0.0,-0.0003,0.0,-0.0,0.0,-0.0,0.0037,-0.049
2026-07-14,48.0,48.0,47.0,47.0,4048900,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0,-0.0,0.0,-0.0005,0.0,-0.0006,0.0,0.0047,0.0047,0.0002,-0.0026,0.0894,-0.0282,-0.0188,-0.0,0.0,0.0,-0.0007,-0.0085,0.0,0.0,-0.0232,-0.0141,0.0047,0.0047,0.0,0.0,0.0,-0.0096,-0.0005,0.0,-0.0012,0.0,0.0,0.0
2026-07-15,47.0,48.0,47.0,47.0,5043200,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0594,0.0005,0.0,-0.0064,-0.0001,0.0,-0.0009,0.0,0.0,0.0001,-0.0024,0.1175,-0.0134,-0.0826,0.0001,0.0,0.0,0.0012,0.0542,0.0,0.0,-0.0002,0.0004,0.0,0.0,0.0,0.0,0.0,-0.0002,-0.0084,-0.0001,0.0,0.0,0.0,0.0
2026-07-16,46.0,47.0,46.0,47.0,8293100,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0023,-0.0,0.0,0.0024,-0.0094,0.0,-0.0691,0.0,0.0002,-0.0007,0.0013,-0.002,-0.0978,0.0053,0.0,0.0,0.0,0.0012,0.0932,0.0,0.0,0.0067,0.0033,0.0088,0.0092,0.0471,-0.0009,-0.0001,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,46.0,47.0,46.0,46.0,15251500,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.3305,0.0007,-0.0736,0.0022,0.0001,-0.0001,-0.2365,0.003,0.0047,0.0003,-0.0001,-0.3103,0.0042,0.0062,0.0,-0.0,0.1334,0.0054,0.1449,0.0008,0.0092,-0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,47.0,47.0,46.0,46.0,9514600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,47.0,47.0,46.0,47.0,14143700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,47.0,47.0,46.0,46.0,12797900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,47.0,47.0,47.0,47.0,32709100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,47.0,47.0,47.0,47.0,6996900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
