Date,Close,High,Low,Open,Volume,CD,CP,GR,YJ,XL,DR,YP,CC,IF,XA,PD,EP,KK,AG,KI,AT,SH,XC,LS,TP,SQ,OD,QA,BQ,NI,AZ,YB,ZP,HP,LG,RO,DH,MG,IN,RG,AO,DX,FZ,IU,PC,BK,GI,AI,YU,HD
2026-07-13,111.0,112.0,105.0,109.0,2045700,0.0,0.0033,0.0008,0.0,-0.0193,-0.0,0.0018,-0.0121,0.0,0.0,-0.0074,-0.0,-0.0201,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0821,-0.0227,0.0,-0.0003,-0.0044,-0.0106,0.0,0.0007,0.0,0.0032,0.0,0.0,-0.0023,0.0,0.0,0.0,0.0,0.0,0.0019,0.0,0.0023,0.0,0.0,0.0,0.0
2026-07-14,110.0,114.0,108.0,111.0,1294900,0.0,0.0,0.0,0.0,-0.0255,0.0,0.004,0.0123,0.0,0.0,-0.0083,-0.0,0.0034,0.0,0.0,0.0001,0.0,-0.0004,0.0,0.0,0.0069,0.0038,0.0,0.0,0.0001,0.0,-0.0002,0.0,0.0,-0.0032,0.0,-0.0003,-0.0001,0.0,0.0,0.0055,0.0,0.0,0.0003,0.0,0.0016,0.0,0.0,0.0,0.0
2026-07-15,109.0,113.0,108.0,108.0,2274300,0.0,-0.02,0.0,0.0,-0.0365,-0.0018,-0.0072,0.0034,0.0,0.0,-0.0006,0.0,0.0174,0.0,0.0,0.0001,0.0,0.0014,0.0217,0.0001,-0.0237,-0.0033,0.0,0.0234,0.0012,0.0,0.0002,0.0,0.0,0.0054,0.0,0.0,0.0135,0.0,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,123.0,144.0,108.0,109.0,143835400,-0.0124,0.0243,0.0118,-0.0003,0.4314,0.0029,-0.218,0.0006,-0.0343,0.0315,0.1116,0.0039,0.0427,-0.0007,-0.0008,0.0234,0.0,0.0097,0.0328,-0.0003,-0.3687,0.0631,-0.0015,-0.0538,0.01,0.0006,0.0115,0.0013,0.0107,-0.0211,-0.0005,-0.0232,-0.031,-0.0001,-0.0013,-0.0342,-0.0,-0.001,-0.0184,0.0001,-0.0042,0.0003,0.0003,0.0011,0.0001
2026-07-17,118.0,121.0,116.0,121.0,15502100,0.0116,-0.0121,0.0009,0.0032,-0.4116,0.0243,0.0587,0.0226,0.0155,0.0034,-0.0103,-0.0007,0.2732,0.0006,-0.0001,0.003,0.0001,0.0152,-0.0537,-0.0117,-0.0343,0.0108,0.0,0.0029,-0.0014,0.0836,0.0233,-0.005,-0.0094,0.0045,0.0013,0.0001,-0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,120.0,123.0,116.0,118.0,11088900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,117.0,120.0,116.0,120.0,6045400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,115.0,119.0,115.0,118.0,3826400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,116.0,118.0,115.0,117.0,3849100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,122.0,142.0,109.0,114.0,139491100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
