Date,Close,High,Low,Open,Volume,YB,AT,XL,CC,NI,AI,AG,LG,DR,PD,XC,AK,YP,DH,BQ,XA,RO
2026-07-13,730.0,740.0,650.0,740.0,11100,0.0001,0.0,-0.0016,-0.0003,0.0,-0.0001,0.0,0.0,-0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0018
2026-07-14,720.0,720.0,670.0,670.0,21500,0.0,0.0,-0.0007,0.0024,0.0006,-0.0001,0.0,0.0,0.0,0.0001,0.0012,0.0,0.0,0.0,0.0001,-0.0019,-0.0018
2026-07-15,715.0,755.0,680.0,695.0,16600,0.0,0.0004,-0.0028,-0.0026,0.0,0.0,0.0,0.0,0.0001,0.0,0.0024,0.0004,0.0016,0.0006,0.0,0.0,0.0
2026-07-16,710.0,715.0,680.0,705.0,3700,0.0,0.0,-0.0011,-0.0001,0.0,0.0,0.0,-0.0001,-0.0001,0.0013,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,710.0,715.0,690.0,690.0,11500,0.0001,-0.0007,-0.0045,0.0044,-0.0012,0.0026,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,710.0,710.0,695.0,710.0,21600,,,,,,,,,,,,,,,,,
2026-07-21,760.0,785.0,695.0,710.0,43600,,,,,,,,,,,,,,,,,
2026-07-22,705.0,760.0,690.0,735.0,118900,,,,,,,,,,,,,,,,,
2026-07-23,715.0,750.0,690.0,745.0,65500,,,,,,,,,,,,,,,,,
2026-07-24,700.0,715.0,690.0,715.0,22000,,,,,,,,,,,,,,,,,
