Date,Close,High,Low,Open,Volume,IN,XL,CC,DR,YP,PD,NI,BQ,AZ,KK,HP,LG,XC,MG,YJ,HD,QA
2026-07-13,294.0,296.0,290.0,292.0,17800,0.0029,0.001,-0.0044,0.0,0.0001,-0.0003,0.0,0.0,0.0,0.0001,0.0,0.0004,0.0,0.0,0.0,0.0,0.0001
2026-07-14,298.0,308.0,288.0,290.0,22900,0.0,0.0006,-0.0007,-0.0003,-0.0,0.0001,0.0001,0.0,-800.0,0.0009,0.0,-0.0004,-0.0001,-0.0001,0.0,0.0,-0.0001
2026-07-15,292.0,300.0,292.0,296.0,113400,0.0332,-0.0327,0.0,0.0,-0.0006,0.0,-0.0002,0.0002,0.0,0.0,0.0,0.0004,-0.0003,0.0,0.0,0.0001,0.0
2026-07-16,290.0,304.0,286.0,292.0,22300,0.0002,-0.0042,-0.0001,0.0022,0.0018,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0,0.0
2026-07-17,302.0,318.0,290.0,292.0,78600,0.0084,-0.005,0.0001,-0.002,-0.0011,-0.0001,0.0,-0.0,0.0,0.0007,0.0001,-0.0001,-0.001,0.0,0.0,0.0,0.0
2026-07-20,298.0,302.0,290.0,302.0,72500,,,,,,,,,,,,,,,,,
2026-07-21,300.0,308.0,298.0,298.0,159300,,,,,,,,,,,,,,,,,
2026-07-22,302.0,306.0,292.0,302.0,42800,,,,,,,,,,,,,,,,,
2026-07-23,304.0,308.0,296.0,304.0,9400,,,,,,,,,,,,,,,,,
2026-07-24,300.0,302.0,300.0,302.0,22000,,,,,,,,,,,,,,,,,
