Date,Close,High,Low,Open,Volume,OD,XL,CC,AK,XA,YP,PD,KK,AZ,AT,XC,SQ,TP,CP,DR,NI,DH,BQ,MI,EP,QA,RO
2026-07-13,264.0,278.0,248.0,260.0,893700,0.0012,0.0063,-0.003,0.0,0.0,-0.0017,-0.1884,0.1862,0.0,0.0,-0.0026,0.0002,0.0,-0.001,0.0,0.0,0.0,0.0027,0.0,0.0,0.0,0.0001
2026-07-14,262.0,272.0,250.0,258.0,296300,0.0014,0.0069,0.0041,0.0047,0.0,-0.051,0.0222,0.0,0.001,0.0,0.0032,0.0003,0.0,0.0,0.0,0.0001,0.0,-0.0026,0.0097,0.0001,0.0,0.0
2026-07-15,260.0,270.0,250.0,264.0,35400,0.0,-0.0009,-0.0005,0.0,0.0,0.0003,0.003,0.0007,0.0,0.0,0.0006,0.0001,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0033,0.0,0.0,0.0
2026-07-16,262.0,264.0,260.0,260.0,124600,0.0,0.0008,0.0133,0.0025,0.0,0.0,-0.0126,0.0,0.0,0.0,-0.0002,0.0001,-0.0026,-0.013,0.0118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,262.0,266.0,252.0,262.0,118400,0.0001,0.0024,0.0025,0.0025,0.0,-0.0113,-0.0018,0.0014,0.0001,0.0002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,262.0,270.0,252.0,262.0,155200,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,264.0,282.0,260.0,262.0,1264300,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,270.0,278.0,260.0,262.0,100800,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,268.0,274.0,262.0,266.0,647200,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,270.0,276.0,262.0,268.0,118200,,,,,,,,,,,,,,,,,,,,,,
