Date,Close,High,Low,Open,Volume,NI,RO,XA,OD,YB,PI,DR,YP,HP,XC,KK,XL,AT,EP,TP,PD,BQ,KI,CC,CP,GI,QA,LG,DH,MG,GR,AO,SQ,YU,ZP,AI,AG,BK,IU,AZ,IF,LS,AR
2026-07-13,63.0,64.0,61.0,62.0,8898200,0.0015,0.0,0.0647,-0.0021,-0.0046,0.0,-0.0001,0.0021,0.0,0.0096,0.0046,-0.0022,-0.0004,-0.0441,0.0251,0.0044,-0.0225,0.0009,-0.0117,-0.0247,0.0,-0.0,0.0008,-0.017,0.0,0.0015,0.0,-0.005,0.0005,0.0,0.0001,0.0009,-0.003,0.0,-0.0007,0.0,0.0217,-0.0001
2026-07-14,65.0,65.0,63.0,63.0,7480600,-0.0048,-0.0,0.0,-0.002,0.0019,0.0,-0.0026,-0.0127,0.0,0.0181,-0.0114,-0.1555,-0.0001,0.0027,0.0,0.0098,0.1171,-0.0008,-0.0209,-0.0064,0.0,0.0003,-0.0001,0.1006,0.0,0.0,0.0,0.0,0.0,0.0006,-0.0155,-0.001,0.0098,-0.0014,-0.0032,-0.0,-0.0224,0.0
2026-07-15,65.0,68.0,64.0,64.0,17690800,0.0225,0.0052,0.0951,-0.0013,0.0016,0.0,0.0005,0.0358,0.0,-0.0335,0.0046,-0.0064,-0.001,-0.0195,0.0,-0.0358,0.0279,0.0,-0.0121,0.0224,0.0,0.0026,0.0004,-0.0981,0.0,-0.0038,0.0,0.0,-0.0005,-0.0,-0.0066,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,64.0,66.0,64.0,65.0,8782800,-0.015,-0.0031,-0.0102,0.0005,0.0153,0.0019,0.0005,-0.0255,0.0,-0.0232,-0.0008,0.0777,-0.0062,0.0576,0.0083,0.0037,-0.115,0.0066,0.0225,0.0226,-0.0001,-0.0026,0.0,0.0026,0.0013,0.0,-0.0195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,65.0,65.0,64.0,64.0,4980400,-0.0203,0.0006,-0.0019,-0.0022,-0.0008,-0.002,0.0003,0.0076,0.0007,-0.0253,-0.0074,-0.0031,0.0,0.0904,-0.0029,0.0369,-0.0058,-0.0064,-0.0027,-0.0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,66.0,72.0,64.0,65.0,53231600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,68.0,70.0,67.0,67.0,13722900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,68.0,71.0,67.0,68.0,33917400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,69.0,70.0,68.0,68.0,9504400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,64.0,69.0,64.0,69.0,15441900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
