Date,Close,High,Low,Open,Volume,CD,CP,IN,XL,PD,YP,CC,XA,EP,KI,DR,KK,AG,AO,XC,SQ,OD,BQ,AK,NI,YU,PG,PF,IU,MU,AZ,LG,YB,HP,SA,IC,ID,RO,MG,GR,FS,AT,DX,TF,TP,QA,ZP,RB,DH,YJ,GI,IF,HD,RF,FZ,AI
2026-07-13,108.0,127.0,102.0,103.0,74812800,0.0,0.067,-0.0731,0.6212,-0.0386,0.1131,-0.0017,-0.1711,-0.0187,-0.0764,0.0337,-0.0039,0.0056,-0.1489,0.1294,0.0137,0.0196,-0.1304,0.0114,-0.0141,-0.0067,-0.0842,0.0,0.0695,0.0,0.0024,-0.012,-0.001,-0.1027,0.0,0.0,0.0,0.0005,-0.2615,0.0641,0.0,0.03,0.0,0.0,-0.0047,0.0006,-0.0137,0.0,-0.0149,0.001,0.0,0.0,-0.0054,0.0,0.001,0.0
2026-07-14,105.0,109.0,102.0,105.0,17438300,0.0,0.03,-0.21,-0.2858,0.0699,0.0555,0.1685,0.0012,0.0026,-0.0,0.1107,0.0386,0.0003,-0.0264,0.0255,-0.0038,-0.0141,0.0167,0.0025,0.0014,0.0,0.0095,0.0,-0.002,0.0,0.0015,0.0,0.0508,0.0,0.0,0.0,0.0,-0.0011,0.0193,0.0053,0.0,-0.0511,0.0,0.0,0.0002,-0.0014,-0.0133,0.0,-0.0071,0.0,0.0,0.0009,0.0053,-0.0,0.0,0.0
2026-07-15,101.0,104.0,99.0,104.0,36295000,0.0,0.0495,-1.5,0.5555,0.0427,0.089,-0.0089,0.0568,0.0101,0.0,0.0424,0.0049,0.0,-0.104,0.0553,0.0212,0.0125,-0.0417,0.1503,-0.077,0.0125,0.2291,0.0,-0.0315,0.0,-0.1142,0.0377,-0.138,0.0035,0.0,0.0,0.0,0.0,0.3232,0.0317,0.0,0.0187,0.0001,-400.0,0.0001,0.005,0.2648,0.0,0.011,-0.001,0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-16,95.0,99.0,93.0,99.0,36588700,0.049,0.0005,-0.5232,0.6434,0.0466,0.1668,0.0347,0.0549,0.0105,0.0,0.048,0.0356,0.0002,-0.1386,0.2087,-0.0022,-0.0059,0.0083,0.0118,-0.0868,-0.108,0.1457,0.0,-0.0109,0.0,-0.4964,-0.0038,-0.0244,0.0004,0.0,0.0,0.0,0.0101,-0.0517,-0.0377,0.0,-0.041,0.004,-0.0,0.0001,0.0,0.048,0.0001,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,89.0,100.0,88.0,95.0,113919900,-0.049,0.1428,-0.0687,2.1,0.151,0.6621,0.1428,0.0382,0.032,0.0272,-0.0043,0.1732,0.0069,-0.0517,0.266,0.1045,0.0856,0.0281,-0.1278,0.1425,0.0237,0.3831,0.009,0.0556,-0.0,-4.6,0.0216,-0.0396,-0.0001,0.0184,0.0784,0.0186,0.0204,0.1856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,90.0,94.0,86.0,89.0,48432000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,93.0,94.0,91.0,92.0,33826300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,91.0,94.0,90.0,94.0,22650300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,91.0,93.0,89.0,92.0,39926200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,89.0,91.0,87.0,90.0,19515500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
