Date,Close,High,Low,Open,Volume,CP,GR,RG,XL,CC,YP,KK,AT,SH,XC,AZ,HP,BK,MG,YJ,PD,DR,XA,EP,KI,AI,SQ,TP,OD,BQ,AK,NI,YU,ZP,YB,HD,BS,DH,AO,DX,LS,DD,AG,SF,FZ,PG,LG,RB,RO,GI,QA,PC
2026-07-13,312.0,312.0,296.0,300.0,24207700,0.0267,0.0454,0.0,0.0979,-0.3077,-0.0666,0.0002,-0.0004,0.0,-0.0514,0.0086,0.003,0.2068,-0.0006,-0.0009,-0.0934,-0.0033,0.0015,-0.0248,-0.0029,0.0,-0.0237,0.0,-0.2004,0.0098,0.4246,0.0068,-0.0018,-0.1143,0.0778,0.0,0.0,0.004,0.0001,-0.0087,0.0,0.003,0.0,0.0,0.0,0.0,-0.0058,0.0,-0.0,0.0028,-0.0124,-0.0
2026-07-14,312.0,316.0,306.0,312.0,22337200,-0.0005,-0.0167,0.0,0.2026,-0.6204,-0.0973,0.0225,-0.0157,0.0,0.1127,-0.0161,-0.0438,-0.1274,-0.0094,0.0,0.1351,0.0184,0.0,0.0053,0.0025,-0.0002,-0.0048,0.0,0.8257,-0.01,-0.3016,-0.0323,0.0,-0.1969,0.02,0.0,0.0,0.0,0.1561,0.0124,-0.001,0.0046,0.0,0.0,-0.031,0.0,0.0097,0.0,0.0,-0.0028,-200.0,0.0
2026-07-15,316.0,320.0,304.0,308.0,28815400,-0.0063,-0.0008,0.0,-0.6145,0.6512,-0.5057,0.0209,0.0016,0.0,-0.1188,0.0362,0.0,0.1244,0.0661,0.0,-0.0131,0.0016,0.0,0.0096,-0.0001,0.0,-0.0579,0.0,0.2209,0.0002,0.2979,-0.0449,-0.0094,0.0,0.0567,0.0,0.0,-0.0037,-0.1581,0.0,0.0,0.0016,0.0023,0.0031,0.0,0.0477,-0.0071,0.0007,-0.0023,0.0,0.0,0.0
2026-07-16,318.0,318.0,310.0,314.0,21891500,-0.0177,0.0,-0.0316,0.1434,0.925,0.0372,-0.005,0.0015,0.0,0.0132,0.0763,0.0,0.0309,0.0464,0.0,0.0023,0.0072,-0.0047,-0.1814,-0.0063,0.0,-0.0033,0.0,-1.0,-0.0059,0.0457,-0.0369,-0.0528,0.0,0.0345,0.0003,0.0,0.0109,-0.0001,-0.0126,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,318.0,320.0,310.0,316.0,26542400,0.0001,-0.0073,0.0006,-0.0775,0.2954,-0.1723,-0.0009,-0.0001,-0.0032,-0.3388,0.0709,-0.0001,0.0591,-0.0475,0.0006,0.0056,-0.3778,-0.0094,-0.0019,-0.0008,-0.0003,-0.0001,0.0113,0.9357,0.0003,-0.3175,-0.0053,-0.0638,0.0306,0.0261,0.0003,-0.0111,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,324.0,324.0,314.0,318.0,31039500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,342.0,344.0,322.0,330.0,46172900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,340.0,346.0,332.0,344.0,25611600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,376.0,376.0,340.0,340.0,83282800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,370.0,376.0,320.0,376.0,67194600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
