Date,Close,High,Low,Open,Volume,XC,AZ,OD,EP,AK,XL,YP,CC,PD,DR,SQ,QA,XA,KK,CP,AT,AI,DH,YB,NI,MU,AO,GR,RO,YU,LG,KI,IF,ZP,DX,GI,MG,SF,BQ,HP
2026-07-13,61.0,64.0,60.0,61.0,3199500,-0.0062,0.0,0.0011,0.0,-0.0017,-0.0172,-0.0178,0.0012,-0.0001,0.0,-0.0494,0.0,0.0,-0.0008,-0.0012,0.0,0.0,0.0,0.0,0.0916,0.0,0.0,0.0,0.0001,0.0,0.0,-0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0002,0.0
2026-07-14,67.0,67.0,61.0,62.0,10186500,0.011,0.162,-0.0036,0.0013,-0.0043,-0.0027,-0.066,-0.0098,-0.0008,-0.0003,0.026,0.0,-0.0,-0.0,0.1505,0.0,0.0,0.0,-0.0013,-0.1512,-0.0,-0.0067,-0.0182,-0.0,0.0,-0.0115,0.0002,0.0,-0.0001,-0.0002,-0.0,0.0071,-0.0334,-0.0003,-0.0478
2026-07-15,64.0,69.0,63.0,67.0,5259400,0.0091,0.0001,0.0015,0.0001,-0.0006,-0.0008,-0.0073,-0.0002,0.0199,0.0,-0.0455,0.0017,-900.0,-0.0001,-0.0311,0.0,0.0,0.0,0.0013,0.0626,0.0,0.0032,0.0,0.0007,-0.0096,-0.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,64.0,64.0,61.0,64.0,2916500,0.0073,0.0416,-0.0037,0.0,-0.0016,-0.0393,-0.0309,-0.0019,-0.0003,-0.0001,0.0102,-0.0017,0.0,0.0,-0.0054,0.0,0.0001,0.0,0.0003,0.0036,0.0,0.0031,0.0185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,64.0,64.0,62.0,63.0,333600,0.0037,0.0001,-0.0,0.0001,-0.0006,-0.0073,0.0001,0.0039,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,63.0,64.0,62.0,63.0,792800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,65.0,65.0,62.0,62.0,1925100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,64.0,65.0,63.0,65.0,1746900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,64.0,65.0,63.0,64.0,2234200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,62.0,64.0,62.0,64.0,594300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
