Date,Close,High,Low,Open,Volume,XC,SQ,TP,HD,XA,AZ,KK,BQ,AK,OD,XL,YP,DH,CC,PD,HP,QA,ZP,AT,EP,AI,YU,LG,CP,GI,NI,AO,DR,RO,YB,RG,IF,MG
2026-07-13,116.0,118.0,114.0,115.0,439700,0.0038,0.0001,0.0,-0.0008,0.0035,0.0001,0.0003,0.0,-0.0021,0.0,0.0061,-0.0032,0.0,-0.0025,0.0013,-0.0097,0.0,0.0,0.0001,0.0,0.0,0.001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0006,0.0,0.0,0.0012
2026-07-14,118.0,119.0,115.0,115.0,814400,-0.0055,0.0029,0.0,-0.0006,0.0239,0.0,-0.0026,0.0001,0.0014,0.0,-0.0299,-0.0222,0.0326,-0.0073,0.0029,0.0,-0.0,0.0028,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0012,0.0012,-0.0006,0.0
2026-07-15,119.0,125.0,118.0,118.0,1582500,-0.0047,0.0129,0.0,0.0,-0.0,0.0,-0.0217,-0.0002,0.0001,0.0005,-0.0006,-0.0218,0.0538,-0.0008,-0.0021,-0.0019,0.0,0.0056,0.0,0.0,0.0,-0.0011,0.0,0.0,-0.0,-0.0058,-0.0122,-0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-16,121.0,124.0,119.0,124.0,843800,0.0005,-0.0048,0.0002,0.0001,0.0,0.0,-0.0349,-0.0002,0.0003,0.0207,-0.0002,0.0025,0.0153,-0.002,0.0133,-0.003,0.0014,-0.0087,-0.0,0.0001,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,121.0,124.0,118.0,121.0,642800,0.0063,-0.019,0.0001,0.0002,-0.0122,-0.0,-0.0115,-0.0008,0.0049,0.0024,0.0006,0.0036,0.0261,0.0025,0.0012,-0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,122.0,122.0,119.0,121.0,374700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,132.0,136.0,120.0,122.0,4040700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,130.0,137.0,129.0,137.0,1595200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,129.0,132.0,128.0,130.0,700500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,124.0,129.0,122.0,129.0,651600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
