Date,Close,High,Low,Open,Volume,XC,SQ,LG,AZ,KK,LS,CP,OD,EP,AK,XL,YP,CC,YB,NI,RF,AO,PD,HD,RO,YU,KI,MG,IF,FS,DR,QA,XA,DH,BQ,YJ,GR,AT,TP
2026-07-13,218.0,224.0,212.0,218.0,1377800,0.0235,0.0,0.0,0.0029,-0.0045,0.0,0.0017,-0.0,-0.0,0.0103,-0.0565,0.016,0.0639,-0.0042,0.003,-0.0484,0.0,-0.0069,-0.0,0.0007,0.0,0.0,-0.0021,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009,0.0009
2026-07-14,224.0,230.0,216.0,218.0,2079500,0.0193,0.0006,0.0,0.0022,-0.0002,0.0044,0.0,-0.0026,0.0,0.0123,0.0867,0.0466,0.0069,0.0009,-0.0092,-0.1979,0.0,0.029,-0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,-0.0001,-0.0001,0.0,0.0
2026-07-15,222.0,224.0,218.0,224.0,1317800,0.007,-0.0006,0.0001,0.0,0.0005,0.011,0.0017,0.0001,0.0,0.0108,0.0291,-0.0115,0.018,0.0,0.0061,-0.1328,0.0,-0.0054,0.0001,0.0,0.1485,0.0,0.0002,0.0,0.0,0.0,-0.0,-0.0838,0.0008,0.0002,0.0,0.0,0.0,0.0
2026-07-16,226.0,226.0,218.0,222.0,724000,-0.0135,-0.0002,0.0,0.012,0.0033,0.003,0.0011,0.0001,0.0,0.0033,0.058,0.0106,-0.0054,0.0,-0.006,-0.0996,0.0,0.0014,-0.0001,0.0008,0.0111,0.0002,-0.0002,-0.0,0.02,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,226.0,230.0,220.0,228.0,1148500,-0.0081,0.0003,-0.0001,-0.0116,0.0011,-0.0003,-0.0006,0.0055,0.0007,0.0024,0.0677,0.0629,-0.0183,0.0018,0.0064,-0.1562,0.0001,0.0447,0.0007,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,222.0,226.0,220.0,226.0,1293900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,220.0,222.0,218.0,222.0,2020700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,220.0,224.0,206.0,222.0,1744800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,220.0,228.0,218.0,222.0,2623600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,216.0,220.0,210.0,220.0,767600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
