Date,Close,High,Low,Open,Volume,NI,CC,OD,YB,QA,DR,SQ,YP,XC,LG,KK,XL,AK,AT,DH,SF,PD,GR,HD,CP,RO,XA,IN,YU,ZP,RF,BQ,AZ,IF,AG,KI,TP,CD,EP,MG,DX,SS,YJ,SH,PC,AO,RS,LS,HP
2026-07-13,98.0,101.0,98.0,99.0,1597100,0.0213,0.0261,-0.0001,0.0,0.0,-0.0004,0.012,0.0094,0.0032,0.0,0.0006,0.0331,-0.0004,-0.0004,0.01,0.0,-0.0006,0.0,0.0001,0.002,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.005,0.0,0.0007,0.0,0.0,0.0,-0.0,0.0,-0.021,-0.0905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,99.0,100.0,96.0,99.0,1959200,0.0007,0.037,0.0439,-0.002,0.0,0.0002,0.0083,0.0166,0.0029,0.0003,0.0061,-0.0075,-0.0123,0.0006,0.0003,0.0,-0.1183,0.0097,0.0001,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0102,-0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,100.0,101.0,99.0,99.0,4475100,-0.0185,0.0717,0.017,0.0303,0.0,-0.008,0.0093,-0.0039,0.0038,0.0001,-0.0042,0.0049,-0.0128,0.0002,0.0589,0.0,-0.0143,-0.1842,-0.0002,0.018,0.0,0.0376,0.0,-0.0096,0.0035,0.0,0.0001,0.0,0.0015,-0.001,-0.0,0.0,0.0,-0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,103.0,105.0,100.0,100.0,4020300,0.0226,0.0108,-0.0122,0.0345,0.0,-0.0013,-0.0065,0.0013,-0.0072,-0.0002,-0.0019,-0.0343,-0.0205,-0.0014,-0.0033,0.0,0.048,0.0,-300.0,0.0088,-0.0,0.0104,0.0001,0.0,-0.0524,-0.0053,-0.0001,0.0102,-0.0002,-0.0002,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,102.0,104.0,102.0,104.0,1817200,0.0015,-0.0367,-0.0078,-0.0208,-0.0001,-0.0023,-0.001,-0.0025,-0.0098,0.0013,0.0308,0.0805,-0.0168,0.0082,-0.0541,0.0,0.0194,0.0051,0.0001,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,104.0,104.0,102.0,102.0,3182200,-0.0002,0.007,-0.0003,-0.0104,0.0,-0.0016,0.002,-0.1619,-0.0001,0.0001,0.005,-0.0197,-0.0005,0.0157,0.0,-0.0,0.0139,-0.0172,0.0001,-0.0343,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.206,0.0,0.0,0.0,-0.0001,-0.0013,-0.0014
2026-07-21,103.0,105.0,103.0,104.0,1826000,-0.0247,0.0396,0.0052,0.0,-0.0,0.0005,0.0103,-0.0283,-0.0031,0.0006,-0.0021,0.0047,-0.0058,0.0008,0.0001,0.0,0.0112,-0.0102,-0.0001,-0.0028,0.0,-0.0103,0.0,0.0,0.0,-0.0009,0.0002,0.0,0.0,0.0,0.0204,0.0,0.0,-0.001,-0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,103.0,105.0,103.0,104.0,2097800,-0.0103,-0.0055,0.0,0.0,0.0,0.0,-0.0097,-0.0207,-0.0028,0.0,0.0,0.0059,0.0014,0.0,-0.0003,0.0,-0.0023,-0.0383,0.0,0.0,0.0,-0.0387,0.0,-0.0052,0.0,-0.014,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.1413,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,103.0,105.0,103.0,104.0,2899500,-0.001,-0.0183,0.0052,-0.0003,0.0,0.0008,0.0021,0.0117,0.0033,0.0,0.0035,-0.0731,-0.0024,-0.0004,-0.0062,0.0,0.0642,-0.0059,0.0003,0.0002,0.0,0.0,0.0,0.0,0.0,-0.0009,0.0001,-0.0342,0.0,0.0,0.0,0.0,-0.001,-0.0001,0.0,0.0,0.0,0.0653,0.0,-0.0104,-0.0026,0.0,0.0,0.0
2026-07-24,101.0,104.0,100.0,103.0,3960500,0.0124,-0.1096,-0.0151,0.0,0.0,-0.0051,0.0,0.013,-0.0298,0.0012,0.0013,-0.0766,-0.0015,0.0007,0.0015,0.0,0.0099,0.0356,-0.0001,0.0032,-0.0002,0.0,0.0,-0.0002,0.0,0.0,-0.0001,-0.0054,0.0,0.0,0.0,0.0,0.0,0.0101,0.0,0.0,0.0,0.205,-0.0502,0.0,0.0,0.0,0.0,0.0
