Date,Close,High,Low,Open,Volume,NI,RO,XA,IN,OD,ID,YB,QA,SQ,YP,XC,KK,XL,AK,AT,YJ,AI,DH,PD,BQ,AZ,MG,PC,GR,CC,CP,LG,IF,AO,FZ,YU,HP,EP,KI,BK,EL,GI,DR,TP,SF
2026-07-13,96.0,101.0,96.0,98.0,7129700,0.0018,-0.0,0.0097,0.0,-0.0062,0.0002,0.0123,-0.0001,-0.0006,-0.0451,0.0079,-0.0012,0.0626,-0.0189,-0.0094,0.0,0.0,-0.0004,0.0258,0.0014,-0.0033,0.0,0.0,0.0035,-0.0268,0.003,-0.0194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0013,0.0,-0.0005,0.0002,-0.0001
2026-07-14,96.0,102.0,95.0,97.0,14185900,0.0051,0.001,0.0011,0.0,0.0182,0.0,0.0051,0.001,-0.0062,0.0113,-0.1031,0.0006,-0.0452,0.0466,0.0,0.0,-0.0003,0.001,-0.0362,-0.0028,-0.0089,0.0,-0.0,0.0015,0.2206,0.0034,-0.0004,0.0,0.0017,0.0,-0.1318,0.0,-0.0011,0.0,-0.0021,0.0195,0.0,0.0,0.0,0.0
2026-07-15,98.0,99.0,96.0,97.0,5228300,0.0092,0.0,0.0038,0.0,-0.0102,0.0,0.0108,-0.0003,-0.0203,0.0063,0.0051,-0.0113,-0.0054,-0.0099,0.0,0.0,0.0,0.0008,0.0008,-0.0139,0.0,0.0194,0.0,-0.0038,0.0322,0.0037,0.0,0.0,0.0,0.0,-0.0145,0.0,-0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,99.0,100.0,96.0,98.0,8176700,0.0096,-0.0007,0.0,0.0,0.0026,0.0,0.0015,-0.001,-0.004,-0.0198,-0.0499,-0.0002,-0.0903,-0.004,0.0,0.0,0.0,-0.0034,0.0171,0.011,0.0022,-0.0195,-200.0,-0.0,0.1868,-0.0224,0.0006,0.005,-0.0221,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,99.0,104.0,98.0,100.0,9633600,0.0464,-0.0,0.0152,-0.1506,-0.0143,0.0,-0.0032,0.0002,-0.0284,-0.0235,-0.018,0.0111,0.16,-0.0242,-0.0,-0.0102,-0.0003,0.0,-0.0053,-0.0229,-0.0013,0.0004,0.0,-0.0023,0.0655,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,97.0,100.0,97.0,99.0,4687000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,100.0,101.0,96.0,97.0,12488100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,99.0,101.0,98.0,100.0,9813300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,102.0,109.0,98.0,100.0,39746800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,100.0,103.0,96.0,102.0,8935900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
