Date,Close,High,Low,Open,Volume,NI,RO,XA,OD,YB,QA,DR,SQ,YP,XC,LG,KK,AK,XL,AT,ZP,EL,EP,TP,DH,PD,BQ,IF,AG,MG,PC,KI,GR,CC,CP,YJ,HD,AO,HP,AI,AZ,RS,YU,ZR,RF,FS,RG,BK,PO,FZ,MI,RB,GA,CD,AR,ES,ID
2026-07-13,70.0,78.0,64.0,64.0,265257500,-0.163,0.0006,-0.01,0.0313,0.0123,-0.0068,0.0149,-0.0278,0.0086,0.0773,-0.0004,-0.0069,0.001,0.5364,0.0007,0.0083,0.0,0.1082,-0.0715,-0.0085,-0.0254,-0.0173,-0.0,-0.0002,0.1221,-0.0,0.0001,-0.0514,-0.4011,-0.0079,-0.0026,-0.0,0.005,0.0012,-0.0002,-0.0115,0.0,0.0021,-0.0006,0.0269,0.0,0.0071,0.0097,0.0,0.0013,-0.001,-0.1608,-0.0,0.0,0.0,0.0,0.0
2026-07-14,70.0,74.0,65.0,72.0,80427300,-0.0626,0.0002,0.0026,-0.0485,-0.0132,0.0066,-0.0267,0.0049,-0.0159,-0.1871,-0.0002,-0.0081,-0.0006,-0.2286,-0.0151,0.0,0.0,-0.1465,-400.0,-0.0002,-0.0068,0.0244,0.0,-0.0001,0.2802,-0.0003,0.0,0.0487,0.4108,-0.0044,0.0003,0.0,0.0006,-0.0016,0.0,0.0086,0.0,0.002,-0.0006,-0.0042,-0.0,-0.009,-0.0099,-0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,68.0,76.0,68.0,70.0,61083000,0.0293,-0.001,0.0585,0.1203,-0.0023,-0.008,-0.0088,0.0128,-0.0314,0.1027,0.0012,-0.0085,0.0705,0.0421,0.0076,-0.0,0.0113,0.042,0.0083,0.0028,0.0069,-0.022,0.0,0.0016,-0.3163,0.0,0.0001,0.0355,-0.1692,0.0074,0.0024,0.0,-0.0002,0.0015,0.0034,0.0137,-0.0,-0.0012,0.0007,-0.0136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,68.0,69.0,66.0,68.0,15378700,0.0113,0.0,-0.1961,0.0551,0.008,0.0007,-0.0023,0.0031,-0.0872,0.0304,0.0,-0.0016,0.0045,-0.1408,-0.0089,0.0136,0.0,-0.0054,0.0,0.0008,0.0122,0.0004,0.0,0.0,-0.0116,0.0,0.0,0.0297,0.0971,0.004,-0.002,0.192,-0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,68.0,71.0,67.0,69.0,8448200,-0.0021,-0.0,0.0,0.0456,0.0,0.0,-0.0,0.0002,0.0143,0.0069,-0.0008,0.0001,-0.0306,-0.0921,0.0011,-0.0005,0.0105,0.015,-0.0082,0.0008,-0.0024,0.0145,-0.0,0.0035,0.0044,0.0,-0.0,0.0004,0.0089,0.0103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,68.0,70.0,67.0,68.0,7421600,0.0069,0.0,-0.0,-0.0036,0.0007,0.0,0.0,-0.0039,-0.0079,0.0096,-0.0057,-0.0058,0.0082,-0.0693,0.0022,-0.0002,0.0,-0.0211,0.0,-0.0108,-0.0043,0.0002,-0.0005,0.0,-0.0014,0.0,0.0,-0.0019,0.1082,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,69.0,71.0,68.0,69.0,18451300,-0.0144,0.0,0.1933,-0.0896,-0.0119,0.0,0.0014,-0.0146,-0.024,-0.0189,0.0,-0.0023,0.0301,0.2018,-0.0036,0.0028,0.0,0.001,0.0,0.0017,-0.0003,-0.0119,-0.0003,0.0,-0.0441,0.0,0.0027,0.0003,-0.0113,-0.0074,0.0,-0.1977,0.0416,0.0,0.0,-0.0173,0.0,-0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,69.0,70.0,67.0,69.0,11068800,0.0123,0.0,0.0,-0.0012,-0.0001,0.0,0.0,0.0036,-0.0421,0.0361,0.0,0.0245,0.0023,0.0005,0.0,0.0,0.0,-0.0509,0.0,-0.0016,-0.0868,0.021,0.0,-0.0027,-0.0132,-0.0,-0.0,0.001,0.1002,0.0004,0.001,0.0,0.0016,0.0,0.0,0.0002,0.0,-0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,67.0,75.0,65.0,69.0,67962600,0.0841,0.0058,-0.0003,-0.1609,0.0025,0.002,0.0072,0.0236,0.0728,-0.1433,0.0069,-0.0125,0.1208,-0.0345,0.0027,-0.1172,-0.0141,0.091,0.0,0.0129,0.0234,0.0065,-0.0002,-0.002,0.0369,0.0,0.0023,-0.0551,-0.0255,-0.0144,0.0,0.0,0.0632,0.0018,0.0004,0.0076,0.0,0.0,0.0014,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,-0.0001
2026-07-24,65.0,68.0,62.0,67.0,13183900,-0.0485,0.0,-0.0002,-0.0412,0.0011,0.0006,0.0006,0.0002,0.0338,0.0043,0.0144,0.1885,-0.0751,-0.0348,0.0,-0.0009,0.0,-0.0409,0.0,-0.0128,-0.0015,-0.0057,0.0,0.0,-0.0584,0.0,0.0,0.0005,0.1712,-0.0001,-0.0009,0.0019,-0.0965,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
