Date,Close,High,Low,Open,Volume,KI,AK,MG,DH,EP,OD,GR,HD,CC,YP,ES,SQ,AZ,XC,BQ,PD,XL,TP,LG,RO,SF,DR,NI,KK,QA,AT,XA,CP,TF,YB,ZP
2026-07-13,208.0,208.0,202.0,202.0,630200,0.0003,0.0051,0.0,-0.0,-0.0153,-0.0005,0.0,0.0453,0.0049,-0.0407,-0.0262,0.0008,0.0,0.0046,0.0,0.0002,0.0214,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
2026-07-14,206.0,208.0,204.0,208.0,154500,0.0,0.0006,0.0,0.0024,0.0,-0.0,0.0,0.0051,0.0031,-0.0,0.0,0.0002,0.0,-0.0004,0.0,0.0014,-0.0167,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,-0.0,0.0041,0.0,0.0,0.0,0.0,0.0
2026-07-15,206.0,206.0,204.0,206.0,181500,0.0,0.0004,0.0,0.0001,0.0073,0.0,0.0,0.0257,-0.0023,-0.007,-0.0103,-0.0035,0.0,-0.0007,0.0,0.0,-0.0073,0.0,0.0,0.001,-0.0016,-0.0006,-0.0011,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,208.0,210.0,206.0,206.0,151100,0.0,0.0005,0.0,-0.0,0.0018,-0.0,0.0032,0.0109,-0.0057,-0.0104,-0.0009,0.0007,0.0002,-0.0021,0.0,-0.0048,0.0064,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,208.0,210.0,204.0,206.0,576200,0.0049,0.0068,0.0032,0.0002,-0.0016,0.0026,-0.0032,0.0104,0.0032,0.0115,-0.0096,0.0001,-0.0061,0.0042,-0.0649,0.03,0.0013,0.0001,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,208.0,210.0,206.0,208.0,331500,0.0,0.0071,-0.0032,0.0,-0.0213,-0.0025,0.0,0.0,0.0011,-0.0133,0.0,-0.0001,-0.0081,0.0131,0.0,0.0001,0.0295,0.0,-0.0069,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0042
2026-07-21,208.0,210.0,204.0,210.0,268800,0.0002,0.0008,0.0,0.0,0.0,-0.0012,0.0,0.0,-0.0082,0.0024,0.0,0.0002,-0.0009,0.0149,0.0,-0.0001,-0.0058,0.0002,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,-0.0042
2026-07-22,208.0,208.0,206.0,208.0,119500,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0144,-0.0132,0.0003,0.0,-0.0004,-0.0012,0.0076,0.0,-0.0,-0.0057,0.0,0.0,0.0,0.0,-0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,210.0,210.0,206.0,208.0,168200,0.0,0.0004,0.0,0.0,0.0,-0.0001,0.0,0.0331,-0.0118,-0.0003,0.0,0.0,-0.0012,-0.0009,0.0,-0.0002,-0.009,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0104,0.0,0.0004,0.0
2026-07-24,208.0,210.0,206.0,208.0,113600,0.0,0.0004,0.0,0.0007,0.0,-0.0003,-0.002,0.0052,-0.0049,0.0,0.0,0.0,-0.0037,-0.0026,0.0,0.0048,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0
